,ts_code,trade_date,net_mf_vol,net_mf_amount
0,000066.SZ,20210219,-29782,-4773.78
1,000066.SZ,20210218,-73978,-12143.97
2,000066.SZ,20210210,-39374,-6161.47
3,000066.SZ,20210209,1231,233.77
4,000066.SZ,20210208,-46791,-7175.91
5,000066.SZ,20210205,-61310,-9743.56
6,000066.SZ,20210204,-37597,-6061.03
7,000066.SZ,20210203,-194523,-33241.63
8,000066.SZ,20210202,-67275,-11661.8
9,000066.SZ,20210201,-23321,-4019.69
10,000066.SZ,20210129,-39700,-6808.5
11,000066.SZ,20210128,23544,4264.08
12,000066.SZ,20210127,35435,6300.5
13,000066.SZ,20210126,-302605,-54256.97
14,000066.SZ,20210125,126605,23955.22
15,000066.SZ,20210122,-110848,-19971.61
16,000066.SZ,20210121,13497,2680.46
17,000066.SZ,20210120,-26763,-4870.16
18,000066.SZ,20210119,-125453,-23572.63
19,000066.SZ,20210118,116607,22010.04
20,000066.SZ,20210115,-62227,-11375.38
21,000066.SZ,20210114,33047,6427.52
22,000066.SZ,20210113,-144317,-27675.34
23,000066.SZ,20210112,-48281,-9343.56
24,000066.SZ,20210111,92950,19440.61
25,000066.SZ,20210108,41293,8604.85
26,000066.SZ,20210107,-127824,-25052.03
27,000066.SZ,20210106,-111628,-22271.65
28,000066.SZ,20210105,-67468,-13359.03
29,000066.SZ,20210104,222937,45187.73
30,000066.SZ,20201231,311933,59029.58
31,000066.SZ,20201230,17466,3484.81
32,000066.SZ,20201229,218304,38866.45
33,000066.SZ,20201228,35446,6505.38
34,000066.SZ,20201225,-58835,-9946.37
35,000066.SZ,20201224,83090,14647.76
36,000066.SZ,20201223,235286,39035.5
37,000066.SZ,20201222,-42642,-6643.6
38,000066.SZ,20201221,127932,20966.88
39,000066.SZ,20201218,-198761,-31385.93
40,000066.SZ,20201217,36753,6123.91
41,000066.SZ,20201216,231136,37205.97
42,000066.SZ,20201215,68049,9665.8
43,000066.SZ,20201214,-22267,-3110.3
44,000066.SZ,20201211,-170204,-24129.69
45,000066.SZ,20201210,-97637,-14392.06
46,000066.SZ,20201209,-13768,-1983.4
47,000066.SZ,20201208,-22667,-3455.81
48,000066.SZ,20201207,19462,3172.34
49,000066.SZ,20201204,-3870,-555.37
50,000066.SZ,20201203,184727,28418.15
51,000066.SZ,20201202,-65912,-9713.8
52,000066.SZ,20201201,64658,9561.61
53,000066.SZ,20201130,3372,507.68
54,000066.SZ,20201127,-41784,-5948.88
55,000066.SZ,20201126,-36444,-5248.24
56,000066.SZ,20201125,-114742,-16811.07
57,000066.SZ,20201124,-24890,-3659.16
58,000066.SZ,20201123,-40438,-5996.88
59,000066.SZ,20201120,-53611,-8050.76
60,000066.SZ,20201119,19122,2926.72
61,000066.SZ,20201118,3768,599.36
62,000066.SZ,20201117,-86488,-12772.48
63,000066.SZ,20201116,-51155,-7712.9
64,000066.SZ,20201113,-11526,-1701.43
65,000066.SZ,20201112,-142537,-21651.49
66,000066.SZ,20201111,-79792,-12696.12
67,000066.SZ,20201110,-65683,-10715.46
68,000066.SZ,20201109,79038,13201.46
69,000066.SZ,20201106,-43627,-6936.97
70,000066.SZ,20201105,-10760,-1654.38
71,000066.SZ,20201104,78768,12722.95
72,000066.SZ,20201103,221707,34335.76
73,000066.SZ,20201102,-55931,-8251.85
74,000066.SZ,20201030,31453,4931.78
75,000066.SZ,20201029,-39732,-5956.54
76,000066.SZ,20201028,-70723,-10964.39
77,000066.SZ,20201027,-27812,-4392.4
78,000066.SZ,20201026,16153,2583.44
79,000066.SZ,20201023,2856,467.91
80,000066.SZ,20201022,-5675,-870.76
81,000066.SZ,20201021,-99743,-15775.64
82,000066.SZ,20201020,-4392,-656.42
