,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2021-03-05,26.804,17.8129,2.3093,2.7056,2.063,1.4192,1.4192,11717260.7544
1,2021-03-04,28.0748,18.6574,2.4188,2.8339,2.1608,1.3532,1.3532,12272766.3846
2,2021-03-03,30.7872,20.46,2.6525,3.1077,2.3696,1.2339,1.2339,13458499.103
3,2021-03-02,30.4902,20.2626,2.6269,3.0777,2.3467,1.246,1.246,13328674.3528
4,2021-03-01,31.0842,20.6574,2.6781,3.1376,2.3925,1.2221,1.2221,13588323.8532
5,2021-02-26,28.4708,18.9206,2.4529,2.8738,2.1913,1.3361,1.3361,12445866.0515
6,2021-02-25,28.5104,18.9469,2.4564,2.8778,2.1944,1.3343,1.3343,12463176.0182
7,2021-02-24,27.164,18.0522,2.3404,2.7419,2.0907,1.4004,1.4004,11874637.1507
8,2021-02-23,27.659,18.3811,2.383,2.7919,2.1288,1.3753,1.3753,12091011.7344
9,2021-02-22,27.5402,18.3022,2.3728,2.7799,2.1197,1.3813,1.3813,12039081.8343
10,2021-02-19,28.8865,19.1969,2.4888,2.9158,2.2233,1.3169,1.3169,12627620.7018
11,2021-02-18,28.3124,18.8153,2.4393,2.8579,2.1791,1.3436,1.3436,12376626.1848
12,2021-02-10,29.5003,19.6048,2.5416,2.9778,2.2706,1.2895,1.2895,12895925.1855
13,2021-02-09,27.4039,18.2116,2.6275,2.7662,2.1092,1.3062,1.3062,11979491.4172
14,2021-02-08,25.2056,16.7507,2.4167,2.5443,1.94,1.4201,1.4201,11018526.0962
15,2021-02-05,22.9098,15.225,2.1966,2.3125,1.7633,1.5621,1.5621,10014938.5704
16,2021-02-04,24.1392,16.042,2.3145,2.4366,1.8579,1.5756,1.5756,10552325.5181
17,2021-02-03,25.0846,16.6703,2.4561,2.532,1.9307,1.48,1.48,10965620.9987
18,2021-02-02,25.0846,16.6703,2.4561,2.532,1.9307,1.516,1.516,10965620.9987
19,2021-02-01,24.6586,16.3871,2.4144,2.489,1.8979,1.5411,1.5411,10779383.7438
20,2021-01-29,22.5886,15.0115,2.2117,2.2801,1.7386,1.6841,1.6841,9874487.0231
21,2021-01-28,21.5354,14.3116,2.1086,2.1738,1.6575,1.7664,1.7664,9414100.9721
22,2021-01-27,22.0438,14.6495,2.1584,2.2251,1.6966,1.7257,1.7257,9636356.3071
23,2021-01-26,20.9906,13.9496,2.0553,2.1188,1.6156,1.8123,1.8123,9175970.2561
24,2021-01-25,22.1346,14.7098,2.1673,2.2343,1.7036,1.7186,1.7186,9676044.7597
25,2021-01-22,21.2267,14.1065,2.0784,2.1426,1.6338,1.7921,1.7921,9279160.2331
26,2021-01-21,21.0996,14.022,2.0659,2.1298,1.624,1.8029,1.8029,9223596.3993
27,2021-01-20,20.5549,13.66,2.0126,2.0748,1.582,1.8507,1.8507,8985465.6834
28,2021-01-19,20.6275,13.7082,2.0197,2.0821,1.5876,1.8442,1.8442,9017216.4455
29,2021-01-18,21.2993,14.1547,2.0855,2.15,1.6393,1.786,1.786,9310910.9952
30,2021-01-15,21.4083,14.2271,2.0962,2.161,1.6477,1.7769,1.7769,9358537.1384
31,2021-01-14,20.7728,13.8048,2.0339,2.0968,1.5988,1.8313,1.8313,9080717.9698
32,2021-01-13,22.9699,15.2649,2.2491,2.3186,1.7679,1.6561,1.6561,10041178.5242
33,2021-01-12,21.4628,14.2633,2.1015,2.1665,1.6519,1.7724,1.7724,9382350.21
34,2021-01-11,20.7546,13.7927,2.0321,2.095,1.5974,1.8329,1.8329,9072780.2792
35,2021-01-08,21.5354,14.3116,2.1086,2.1738,1.6575,1.7664,1.7664,9414100.9721
36,2021-01-07,20.918,13.9013,2.0481,2.1115,1.61,1.8186,1.8186,9144219.494
37,2021-01-06,19.4835,12.948,1.9077,1.9667,1.4996,1.9524,1.9524,8517141.9419
38,2021-01-05,19.4825,12.9473,1.9076,1.9666,1.4995,1.9488,1.9488,8516700.3699
39,2021-01-04,18.522,12.309,1.8135,1.8696,1.4256,2.0499,2.0499,8096807.2354
40,2020-12-31,17.942,11.9236,1.7568,1.8111,1.3809,2.3735,2.1161,7843286.8523
41,2020-12-30,18.2501,12.1283,1.7869,1.8422,1.4047,2.3379,2.0844,7977969.5558
42,2020-12-29,16.8184,11.1769,1.6467,1.6977,1.2945,2.5369,2.2618,7352091.11
43,2020-12-28,17.2171,11.4418,1.6858,1.7379,1.3252,2.4782,2.2095,7526386.3734
44,2020-12-25,16.8003,11.1648,1.645,1.6958,1.2931,2.5397,2.2643,7344168.598
45,2020-12-24,16.4918,10.9598,1.6148,1.6647,1.2693,2.5871,2.3066,7209326.2396
46,2020-12-23,17.0536,11.3332,1.6698,1.7214,1.3126,2.5019,2.2306,7454918.6719
47,2020-12-22,17.1261,11.3814,1.6769,1.7287,1.3181,2.4914,2.2212,7486608.018
48,2020-12-21,17.2167,11.4416,1.6857,1.7379,1.3251,2.4783,2.2095,7526219.7007
49,2020-12-18,17.0166,11.3086,1.6662,1.7177,1.3097,2.5073,2.2354,7438751.8937
50,2020-12-17,17.3791,11.5495,1.7016,1.7542,1.3376,2.455,2.1888,7597191.7636
51,2020-12-16,17.0891,11.3568,1.6733,1.725,1.3153,2.4968,2.226,7470439.8677
52,2020-12-15,17.216,11.4411,1.6857,1.7378,1.3251,2.4784,2.2096,7525893.8222
