,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-09-30,0.7244,0.76,0.76,--,5.968,5.8483,0.5073,1.6628,2.9224,--,5.1561,27.8807,5.6422,17.7464,14.4291,71.487,12.6766,72.4358,12.1373,5.1561,--,9.851,5.8529,191.6624,--,2.3818,12614353308.24,12.28,13.41,4956039133.85,42.4786,65.7736,23.0801,7.5118,1.6468,163.9543,111.4551,2.4225,--,0.4451,606.6053,0.6505,415.0653,1.0426,1.7665,1.419,46.0829,18686.4614,0.077,42.4814,2.28,--,135.3971,70.9409,5.0936,--,74.7483,96.3109,235.8339,--,57.5186,111235297263.6,0.0888,0.0361,0.7004,0.0628,9.3471,--,--,--,3432826513.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,0.5128,0.54,0.54,0.47,5.7274,5.6099,0.1873,1.6347,2.7154,--,3.7378,28.7012,4.0419,20.2392,16.3072,70.6426,14.0521,124.5654,21.7492,9.0789,--,9.5752,6.3659,175.3467,--,2.0108,8273756311.98,9.07,9.88,3505451231.1,29.4902,57.5843,20.4077,6.7528,1.0681,168.5235,110.7147,1.6258,5.0071,0.2876,625.8693,0.4172,431.4477,0.6801,1.8023,1.4832,47.4213,8647.4605,0.0881,41.7435,2.7149,797.0384,139.558,69.2549,6.1065,49.5097,73.759,98.497,234.3226,5.2373,58.2565,108373851454.11,0.0513,0.0136,0.3651,0.0234,3.5541,--,--,--,3913286203.25,--,--,--,5095982054.92,2199798206.14,7576788509.68,--,47906856.27,--,--,--,66210764.4,123083248.43,145994733.52
2020-03-31,0.1334,0.14,0.14,--,5.2137,5.0879,0.0405,1.7375,2.3442,--,1.045,29.9386,1.0909,16.8302,14.1822,69.4445,11.5854,13.3415,2.5589,1.045,--,14.22,12.5632,211.0625,--,1.1849,2714441071.83,2.56,2.61,870193948.68,0.5537,7.0284,3.3483,2.1646,0.3541,254.1655,180.036,0.4999,--,0.0942,955.414,0.1355,664.2066,0.225,1.8266,1.4797,49.9646,559.3595,0.088,40.8381,2.8013,--,144.8696,68.0318,6.4193,--,72.6985,101.1191,232.52,--,59.1619,100517125088.43,0.0352,0.0032,0.3038,0.0054,0.8247,--,--,--,3960074782.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,0.5429,0.58,0.58,0.47,5.0201,4.935,0.7898,1.7101,2.2134,--,4.6434,29.1714,4.6087,13.4998,11.5775,69.9987,9.8716,124.7709,24.8543,10.6722,--,15.2737,19.1857,250.9657,0.0733,7.4258,12633363022.44,11.25,10.82,3514297528.88,50.915,118.4937,1.9725,-1.4858,1.7915,200.9489,126.6045,2.8435,7.6364,0.4669,771.043,0.6486,555.0416,1.1062,1.8269,1.4866,45.6958,514.2996,0.0994,42.9391,3.0869,677.092,132.8881,68.167,6.7069,51.2648,73.0675,94.6686,235.1875,6.3417,57.0609,92068028637.66,0.1436,0.0676,1.4548,0.1184,17.9836,--,--,--,3907839063.55,--,--,--,3431242667.45,2249068472.11,7389354420.37,--,28146408.32,--,--,--,132007521.46,110166704.08,86089264.19
2019-09-30,0.4398,0.44,0.44,--,4.8801,4.8245,0.6308,1.7257,2.1246,--,3.344,29.0014,3.5139,15.5055,13.2336,70.1813,10.8952,43.9766,9.0115,3.344,--,15.2096,12.7017,216.9634,0.0906,4.0819,9209401570.9,9.19,8.72,2766272467.65,50.9616,168.8591,0.7509,19.0532,1.2992,207.8202,127.6898,2.1145,--,0.3225,837.2093,0.428,630.8411,0.8231,1.5405,1.3128,35.0328,563.422,0.1159,37.108,3.0667,--,169.4838,61.2278,7.6334,--,66.2878,140.1674,184.3958,--,62.892,103463330059.27,0.1563,0.048,1.4343,0.0763,9.7992,--,--,--,3586963988.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,0.3277,0.33,0.33,0.27,4.7895,4.7179,0.4557,1.7285,2.0156,--,2.5321,29.2079,2.6368,16.3137,13.9265,70.0025,11.5469,100.8951,21.0659,7.7964,29.9975,14.8532,8.5772,209.0474,0.725,2.0978,6502292149.82,6.96,6.52,2114313029.02,51.2342,201.2635,-0.0707,16.2631,0.8913,201.9522,114.9646,1.5657,3.9572,0.2284,788.0911,0.3023,595.435,0.5832,1.5277,1.322,32.0796,605.5826,0.1318,37.0096,3.4483,653.6772,170.2003,59.8956,8.5231,51.819,65.4762,143.3247,181.1049,5.6618,62.9904,101518535378.33,0.1606,0.0352,1.3908,0.0559,7.1006,--,--,--,3589826034.77,--,--,--,3730876806.09,3285009871.62,6998595889.18,--,46717828.48,--,--,--,138376469.12,49981907.15,104886731.73
2019-03-31,0.1257,0.13,0.13,--,5.0864,5.0167,0.2391,1.7166,2.0674,--,0.9975,29.1674,1.0232,14.4033,12.6492,69.9908,10.8845,12.568,2.4709,0.9975,30.0092,17.2294,5.7703,229.9572,0,0.5128,2629957284.18,2.56,2.59,820439604.39,41.7625,164.4673,2.603,14.8396,0.3875,232.2581,141.9558,0.634,--,0.094,957.4468,0.1238,726.979,0.2298,1.6449,1.4186,39.1748,382.7174,0.1167,40.3703,3.4998,--,147.7068,53.5431,7.9777,--,58.1849,123.8857,191.4841,--,59.6297,98387417697.38,0.2071,0.019,1.9026,0.0318,4.0803,--,--,--,3540443418.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-31,0.2506,0.26,0.26,0.25,4.9649,4.8922,0.6485,1.7133,1.9392,--,2.0936,26.2137,2.2158,10.0489,9.0644,72.9115,6.8184,89.9956,18.1264,7.5194,27.0885,17.7117,34.4307,285.0993,0.1281,6.6019,7522413042.18,5.29,5.25,1490218830.05,23.3046,56.7835,1.4157,12.3965,1.2875,279.6117,158.6043,2.2698,5.0011,0.325,1107.6923,0.4334,830.6414,0.7454,1.7757,1.5347,47.7027,312.1035,0.1802,41.4828,5.9268,704.4164,141.0636,52.108,12.5013,52.047,59.5529,116.5055,198.0247,5.889,58.5172,93456651846.14,0.1765,0.0542,2.5882,0.0926,12.779,--,--,--,3499059668.21,--,--,--,4991017675.93,3609292649.94,7915788508.87,--,35701114.03,--,--,--,111755555.64,44329994.39,83849385.07
2018-09-30,0.1651,0.17,0.17,--,4.8905,4.8004,0.3919,1.7057,1.8995,--,1.4807,25.461,1.5134,8.0977,7.4873,73.6317,6.1176,16.5148,3.3769,1.4807,26.3683,18.501,34.202,337.9434,--,3.9308,5355746300.52,3.47,3.41,957425070.04,17.7761,4.8371,0.2699,0.915,0.943,286.3203,153.6798,1.7569,--,0.2474,1091.35,0.334,808.3832,0.5511,2.2447,1.9375,57.1782,275.8271,0.1808,43.849,7.3728,--,128.0555,51.6683,14.3939,--,60.3559,91.5222,237.7323,--,56.151,86905112732,0.1452,0.0351,2.373,0.0626,10.7265,--,--,--,3301983246.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-06-30,0.1095,0.11,0.11,0.1,4.824,4.7448,0.2046,1.6954,1.8441,--,0.9772,24.6314,1.0011,7.7914,7.2555,74.4093,5.7965,73.6557,15.2687,6.5745,25.5907,17.9881,30.216,338.6339,--,2.3307,3625817797.29,2.34,2.27,647813984.3,15.0909,-20.6319,-0.6328,-3.7951,--,--,136.1882,1.3217,2.5285,0.1727,1042.2698,0.2317,776.8666,0.3883,2.1641,1.9082,61.3873,270.6444,0.1683,43.0589,6.7444,662.9717,132.24,51.2383,13.5421,53.711,59.2638,95.5938,231.8203,6.4948,56.9411,87317966006.73,0.1083,0.0183,1.8689,0.0321,5.3064,--,--,--,3212788081.35,--,--,--,--,--,--,--,50542506.44,--,--,--,--,--,--
