,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-09-30,0.6458,0.64,0.64,--,7.9182,7.24,5.6689,0.4168,4.1985,--,0.6877,--,0.724,208.4044,--,--,--,64.5816,8.1561,0.6877,--,--,8.9865,-2.1892,--,--,-6220000000,8.15,8.7375,227669000000,--,-8.9102,5.671,10.0093,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.4312,--,--,1086.0702,--,--,--,1186.0702,0,--,--,91.5688,33471851000000,--,0.0604,8.7779,0.0659,--,--,--,--,39524000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,0.4203,0.42,0.42,0.42,7.7068,7.08,5.2573,0.4168,3.9928,--,0.4524,--,0.4739,216.7579,--,--,--,86.1116,11.1734,0.9269,--,--,9.7332,-2.3269,--,--,-4406000000,5.45,5.85,148164000000,--,-11.2004,13.0867,10.4084,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.2953,--,1089.5459,1105.4951,--,--,61.6065,1205.4951,0,--,0.7614,91.7047,33112010000000,--,0.0566,12.5086,0.0617,--,--,--,--,28327000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-03-31,0.2385,0.24,0.24,--,7.8009,7.18,5.4683,0.4183,4.0763,--,0.2649,--,0.2733,269.139,--,--,--,23.8528,3.0577,0.2649,--,--,10.702,-1.9352,--,--,-2073000000,3.06,3.36,84109000000,--,2.8093,14.4647,9.7376,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.6628,--,--,1054.3555,--,--,--,1154.3555,0,--,--,91.3372,32094478000000,--,0.0607,22.9252,0.0665,--,--,--,--,28969000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,0.8792,0.86,0.86,0.86,7.5532,6.93,1.9487,0.4183,3.8398,--,1.0407,--,1.0841,189.52,--,--,--,130.1403,17.2298,1.5405,--,--,2.7364,-1.9595,--,--,-7677000000,11.67,13.05,310502000000,--,4.9002,14.8033,8.7001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.9407,--,1065.1653,1018.4771,--,--,62.6816,1118.4771,0,--,0.8394,91.0593,30109436000000,--,0.0231,2.2164,0.0253,--,--,--,--,32490000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-30,0.709,0.71,0.71,--,7.4932,6.79,3.8585,0.4264,3.839,--,0.8305,--,0.8695,231.9195,--,--,--,70.8989,9.4617,0.8305,--,--,0.6856,-1.7886,--,--,-5601000000,9.48,10.725,250508000000,--,5.234,17.0886,7.9021,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.7773,--,--,1039.2969,--,--,--,1139.2969,0,--,--,91.2227,30426381000000,--,0.0452,5.4423,0.0495,--,--,--,--,29821000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,0.4733,0.47,0.47,0.47,6.815,6.53,2.8192,0.4264,3.6041,--,0.5625,--,0.5848,241.2159,--,--,--,88.2468,12.949,1.0487,47.1718,--,-0.3838,-1.8407,--,--,-3851000000,6.96,7.205,167133000000,--,5.0001,10.7971,9.8428,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.0989,--,972.0868,1134.7374,--,--,63.1462,1234.7374,0,--,0.8331,91.9011,29990476000000,--,0.0335,5.9565,0.0365,--,--,--,--,29837000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-03-31,0.232,0.23,0.23,--,6.8151,6.53,2.9314,0.4264,3.6142,--,0.2827,--,0.2904,255.7336,--,--,--,23.2011,3.4043,0.2827,43.7786,--,-1.7013,-1.7882,--,--,-1852000000,3.4,3.5875,81535000000,--,4.5795,11.1697,10.3903,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.3051,--,--,1104.0814,--,--,--,1204.0814,0,--,--,91.6949,29246572000000,--,0.0357,12.6348,0.039,--,--,--,--,28122000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-31,0.8382,0.82,0.82,0.82,6.5792,6.3,2.0318,0.4264,3.3856,--,1.0784,--,1.1108,193.1382,--,--,--,122.7756,18.6611,1.5797,47.9701,--,5.383,-2.0893,--,--,-7781000000,12.78,13.79,295539000000,--,3.9214,9.5199,6.1812,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.4654,--,908.095,1081.276,--,--,65.0302,1181.276,0,--,0.9322,91.5346,27699540000000,--,0.0261,2.4241,0.0286,--,--,--,--,29124000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-09-30,0.6737,0.67,0.67,--,6.3996,6.12,2.4772,0.4264,3.3499,--,0.8515,--,0.8847,232.5069,--,--,--,67.3726,10.5276,0.8515,51.0099,--,4.9989,-2.0019,--,--,-5936000000,10.57,11.3625,238024000000,--,4.8165,8.5534,9.4444,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.0887,--,--,1136.2934,--,--,--,1236.2934,0,--,--,91.9113,28198135000000,--,0.0313,3.6769,0.0341,--,--,--,--,32055000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-06-30,0.4508,0.45,0.45,0.45,6.1508,5.87,0.5234,0.4264,3.129,--,0.5884,--,0.6018,241.6478,--,--,--,82.2497,13.3721,1.0737,50.3759,--,6.0502,-2.1484,--,--,-4237000000,7.36,7.665,158923000000,--,4.5352,7.9565,7.012,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.0291,--,969.0271,1145.4643,--,--,63.0663,1245.4643,0,--,0.8286,91.9709,27303080000000,--,0.0068,1.1611,0.0074,--,--,--,--,31719000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--
