,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2021-03-05,6.3582,6.8647,0.7693,2.3214,2.2716,4.7181,4.7181,198518285.1986
1,2021-03-04,6.2212,6.7168,0.7527,2.2714,2.2227,4.822,4.822,194241410.1135
2,2021-03-03,6.2212,6.7168,0.7527,2.2714,2.2227,4.822,4.822,194241410.1135
3,2021-03-02,6.0386,6.5196,0.7306,2.2047,2.1574,4.9679,4.9679,188538910.0001
4,2021-03-01,6.0957,6.5812,0.7375,2.2255,2.1778,4.9213,4.9213,190320941.2855
5,2021-02-26,6.1299,6.6182,0.7417,2.2381,2.19,4.8939,4.8939,191390160.0568
6,2021-02-25,6.2098,6.7045,0.7514,2.2672,2.2186,4.8309,4.8309,193885003.8564
7,2021-02-24,6.05,6.5319,0.732,2.2089,2.1615,4.9585,4.9585,188895316.2572
8,2021-02-23,6.1413,6.6305,0.7431,2.2422,2.1941,4.8848,4.8848,191746566.3139
9,2021-02-22,6.1299,6.6182,0.7417,2.2381,2.19,4.8939,4.8939,191390160.0568
10,2021-02-19,5.9815,6.458,0.7237,2.1839,2.137,5.0153,5.0153,186756878.7146
11,2021-02-18,5.9815,6.458,0.7237,2.1839,2.137,5.0153,5.0153,186756878.7146
12,2021-02-10,5.9929,6.4703,0.7251,2.188,2.1411,5.0057,5.0057,187113284.9717
13,2021-02-09,5.8788,6.3471,0.7113,2.1464,2.1003,5.1029,5.1029,183549222.4008
14,2021-02-08,5.8902,6.3594,0.7127,2.1505,2.1044,5.093,5.093,183905628.6579
15,2021-02-05,5.913,6.3841,0.7154,2.1589,2.1125,5.0734,5.0734,184618441.1721
16,2021-02-04,5.7874,6.2485,0.7003,2.113,2.0677,5.1834,5.1834,180697972.3441
17,2021-02-03,5.7532,6.2115,0.6961,2.1005,2.0554,5.2143,5.2143,179628753.5729
18,2021-02-02,5.8103,6.2731,0.703,2.1214,2.0758,5.1631,5.1631,181410784.8583
19,2021-02-01,5.8674,6.3348,0.7099,2.1422,2.0962,5.1128,5.1128,183192816.1437
20,2021-01-29,5.8103,6.2731,0.703,2.1214,2.0758,5.1631,5.1631,181410784.8583
21,2021-01-28,5.7418,6.1992,0.6947,2.0964,2.0514,5.2247,5.2247,179272347.3158
