,ts_code,trade_date,avg_price
0,002600.SZ,20201231,11.91
1,002600.SZ,20201230,11.98
2,002600.SZ,20201229,12.69
3,002600.SZ,20201228,12.74
4,002600.SZ,20201225,12.83
5,002600.SZ,20201224,13.05
6,002600.SZ,20201223,13.26
7,002600.SZ,20201222,13.28
8,002600.SZ,20201221,12.78
9,002600.SZ,20201218,12.91
10,002600.SZ,20201217,12.66
11,002600.SZ,20201216,13.51
12,002600.SZ,20201215,14.03
13,002600.SZ,20201214,13.85
14,002600.SZ,20201211,14.03
15,002600.SZ,20201210,14.08
16,002600.SZ,20201209,14.33
17,002600.SZ,20201208,14.4
18,002600.SZ,20201207,14.55
19,002600.SZ,20201204,14.33
20,002600.SZ,20201203,14.45
21,002600.SZ,20201202,14.44
22,002600.SZ,20201201,14.16
23,002600.SZ,20201130,14.23
24,002600.SZ,20201127,12.96
25,002600.SZ,20201126,12.55
26,002600.SZ,20201125,12.55
27,002600.SZ,20201124,12.38
28,002600.SZ,20201123,12.44
29,002600.SZ,20201119,12.85
30,002600.SZ,20201118,12.77
31,002600.SZ,20201117,12.54
32,002600.SZ,20201116,12.97
33,002600.SZ,20201113,13.05
34,002600.SZ,20201112,13.5
35,002600.SZ,20201111,13.6
36,002600.SZ,20201110,14.0
37,002600.SZ,20201109,14.02
38,002600.SZ,20201106,13.27
39,002600.SZ,20201105,13.75
40,002600.SZ,20201104,13.51
41,002600.SZ,20201103,13.41
42,002600.SZ,20201102,13.32
43,002600.SZ,20201030,13.17
44,002600.SZ,20201029,13.79
45,002600.SZ,20201028,14.03
46,002600.SZ,20201027,13.11
47,002600.SZ,20201026,12.93
48,002600.SZ,20201023,12.87
49,002600.SZ,20201022,12.84
50,002600.SZ,20201021,12.82
51,002600.SZ,20201020,12.72
52,002600.SZ,20201019,12.52
53,002600.SZ,20201016,12.1
54,002600.SZ,20201015,12.17
55,002600.SZ,20201014,11.99
56,002600.SZ,20201013,12.49
57,002600.SZ,20201012,12.68
58,002600.SZ,20201009,11.92
59,002600.SZ,20200930,11.15
60,002600.SZ,20200929,11.19
61,002600.SZ,20200928,11.02
62,002600.SZ,20200925,10.97
63,002600.SZ,20200924,11.03
64,002600.SZ,20200923,11.52
65,002600.SZ,20200922,11.44
66,002600.SZ,20200921,11.52
67,002600.SZ,20200918,11.36
68,002600.SZ,20200917,11.27
69,002600.SZ,20200916,11.3
70,002600.SZ,20200915,11.49
71,002600.SZ,20200914,11.59
72,002600.SZ,20200911,10.99
73,002600.SZ,20200910,11.01
74,002600.SZ,20200909,11.07
75,002600.SZ,20200908,11.41
76,002600.SZ,20200907,11.59
77,002600.SZ,20200904,11.68
78,002600.SZ,20200903,11.88
79,002600.SZ,20200902,12.28
80,002600.SZ,20200901,11.96
81,002600.SZ,20200831,12.23
82,002600.SZ,20200828,11.78
83,002600.SZ,20200827,11.73
84,002600.SZ,20200826,11.88
85,002600.SZ,20200825,12.06
86,002600.SZ,20200821,11.61
87,002600.SZ,20200820,11.31
88,002600.SZ,20200819,11.29
89,002600.SZ,20200818,11.68
90,002600.SZ,20200817,11.67
91,002600.SZ,20200814,11.49
92,002600.SZ,20200813,11.46
93,002600.SZ,20200812,11.36
94,002600.SZ,20200811,11.4
95,002600.SZ,20200810,11.12
96,002600.SZ,20200807,11.58
97,002600.SZ,20200806,11.84
98,002600.SZ,20200805,12.17
99,002600.SZ,20200804,12.53
100,002600.SZ,20200803,12.6
101,002600.SZ,20200731,11.74
102,002600.SZ,20200730,10.83
103,002600.SZ,20200729,10.8
104,002600.SZ,20200728,10.55
105,002600.SZ,20200727,10.33
106,002600.SZ,20200724,10.81
107,002600.SZ,20200723,11.26
108,002600.SZ,20200722,11.44
109,002600.SZ,20200721,11.08
110,002600.SZ,20200717,10.86
111,002600.SZ,20200716,11.34
112,002600.SZ,20200715,11.86
113,002600.SZ,20200714,12.4
114,002600.SZ,20200713,12.61
115,002600.SZ,20200710,12.65
116,002600.SZ,20200709,12.91
117,002600.SZ,20200707,11.82
118,002600.SZ,20200706,11.4
119,002600.SZ,20200703,11.03
120,002600.SZ,20200702,10.87
121,002600.SZ,20200701,10.32
122,002600.SZ,20200630,10.55
123,002600.SZ,20200629,10.58
124,002600.SZ,20200624,11.02
125,002600.SZ,20200623,10.7
126,002600.SZ,20200622,10.82
127,002600.SZ,20200619,10.71
128,002600.SZ,20200617,9.92
129,002600.SZ,20200616,10.09
130,002600.SZ,20200615,10.15
131,002600.SZ,20200612,10.36
132,002600.SZ,20200611,10.89
133,002600.SZ,20200610,10.97
134,002600.SZ,20200609,11.09
135,002600.SZ,20200608,11.11
136,002600.SZ,20200605,11.01
137,002600.SZ,20200604,10.89
138,002600.SZ,20200603,10.93
139,002600.SZ,20200602,10.66
140,002600.SZ,20200601,9.83
141,002600.SZ,20200529,8.88
142,002600.SZ,20200528,8.75
143,002600.SZ,20200527,8.87
144,002600.SZ,20200526,8.92
145,002600.SZ,20200525,8.89
146,002600.SZ,20200522,9.14
147,002600.SZ,20200521,9.45
148,002600.SZ,20200520,9.53
149,002600.SZ,20200519,9.36
150,002600.SZ,20200518,9.24
151,002600.SZ,20200515,9.53
152,002600.SZ,20200514,9.43
153,002600.SZ,20200513,9.25
154,002600.SZ,20200512,9.21
155,002600.SZ,20200511,9.29
156,002600.SZ,20200508,9.44
157,002600.SZ,20200507,9.54
158,002600.SZ,20200506,9.49
159,002600.SZ,20200430,9.19
160,002600.SZ,20200429,8.63
161,002600.SZ,20200428,8.5
162,002600.SZ,20200427,8.34
163,002600.SZ,20200424,8.36
164,002600.SZ,20200422,8.72
165,002600.SZ,20200421,8.72
166,002600.SZ,20200420,8.93
167,002600.SZ,20200417,9.16
168,002600.SZ,20200416,9.02
169,002600.SZ,20200415,8.93
170,002600.SZ,20200414,8.43
171,002600.SZ,20200413,8.17
172,002600.SZ,20200410,8.61
173,002600.SZ,20200409,8.96
174,002600.SZ,20200408,9.01
175,002600.SZ,20200407,8.98
176,002600.SZ,20200403,8.8
177,002600.SZ,20200402,8.7
178,002600.SZ,20200401,8.46
179,002600.SZ,20200331,8.31
180,002600.SZ,20200330,8.17
181,002600.SZ,20200327,8.73
182,002600.SZ,20200326,8.65
183,002600.SZ,20200325,8.87
184,002600.SZ,20200324,8.2
185,002600.SZ,20200323,8.5
186,002600.SZ,20200320,9.09
187,002600.SZ,20200319,9.04
188,002600.SZ,20200318,9.27
189,002600.SZ,20200317,8.87
190,002600.SZ,20200313,10.08
191,002600.SZ,20200312,10.58
192,002600.SZ,20200311,11.23
193,002600.SZ,20200310,11.01
194,002600.SZ,20200309,11.29
195,002600.SZ,20200306,11.85
196,002600.SZ,20200305,11.98
197,002600.SZ,20200304,11.84
198,002600.SZ,20200303,12.24
199,002600.SZ,20200302,11.72
200,002600.SZ,20200228,11.73
201,002600.SZ,20200227,12.45
202,002600.SZ,20200226,12.86
203,002600.SZ,20200224,13.36
204,002600.SZ,20200221,13.13
205,002600.SZ,20200219,12.49
206,002600.SZ,20200218,12.64
207,002600.SZ,20200217,12.41
208,002600.SZ,20200214,12.01
209,002600.SZ,20200213,11.79
210,002600.SZ,20200212,11.83
211,002600.SZ,20200211,11.75
212,002600.SZ,20200210,11.08
213,002600.SZ,20200207,11.22
214,002600.SZ,20200206,11.4
215,002600.SZ,20200205,11.73
216,002600.SZ,20200204,11.44
217,002600.SZ,20200203,11.66
218,002600.SZ,20200123,13.04
219,002600.SZ,20200122,12.93
220,002600.SZ,20200121,12.98
221,002600.SZ,20200120,13.04
222,002600.SZ,20200117,12.8
223,002600.SZ,20200116,12.69
224,002600.SZ,20200115,11.71
225,002600.SZ,20200114,11.91
226,002600.SZ,20200113,11.92
227,002600.SZ,20200110,12.02
228,002600.SZ,20200109,12.02
229,002600.SZ,20200108,11.98
230,002600.SZ,20200107,11.7
231,002600.SZ,20200106,11.7
232,002600.SZ,20200103,11.62
233,002600.SZ,20200102,11.18
234,002600.SZ,20191231,10.87
235,002600.SZ,20191230,10.6
236,002600.SZ,20191227,11.12
237,002600.SZ,20191226,11.26
238,002600.SZ,20191225,11.37
239,002600.SZ,20191224,11.32
240,002600.SZ,20191223,11.42
241,002600.SZ,20191220,11.94
242,002600.SZ,20191219,11.86
243,002600.SZ,20191218,11.85
