,ts_code,trade_date,avg_price
0,000708.SZ,20201231,21.58
1,000708.SZ,20201230,21.33
2,000708.SZ,20201229,21.31
3,000708.SZ,20201228,21.21
4,000708.SZ,20201225,21.02
5,000708.SZ,20201224,20.67
6,000708.SZ,20201223,20.4
7,000708.SZ,20201222,20.76
8,000708.SZ,20201221,21.78
9,000708.SZ,20201218,21.52
10,000708.SZ,20201217,20.85
11,000708.SZ,20201216,21.06
12,000708.SZ,20201215,21.07
13,000708.SZ,20201214,20.56
14,000708.SZ,20201211,21.19
15,000708.SZ,20201210,20.31
16,000708.SZ,20201209,20.47
17,000708.SZ,20201208,20.44
18,000708.SZ,20201207,20.79
19,000708.SZ,20201204,20.87
20,000708.SZ,20201203,20.97
21,000708.SZ,20201202,21.31
22,000708.SZ,20201201,21.59
23,000708.SZ,20201130,21.1
24,000708.SZ,20201127,21.21
25,000708.SZ,20201126,21.02
26,000708.SZ,20201125,21.15
27,000708.SZ,20201124,21.25
28,000708.SZ,20201123,21.45
29,000708.SZ,20201119,20.7
30,000708.SZ,20201118,20.7
31,000708.SZ,20201117,20.9
32,000708.SZ,20201116,19.95
33,000708.SZ,20201113,19.14
34,000708.SZ,20201112,19.02
35,000708.SZ,20201111,18.53
36,000708.SZ,20201110,18.38
37,000708.SZ,20201109,17.98
38,000708.SZ,20201106,17.28
39,000708.SZ,20201105,16.75
40,000708.SZ,20201104,16.42
41,000708.SZ,20201103,16.33
42,000708.SZ,20201102,15.96
43,000708.SZ,20201030,16.23
44,000708.SZ,20201029,16.13
45,000708.SZ,20201028,16.29
46,000708.SZ,20201027,16.12
47,000708.SZ,20201026,16.31
48,000708.SZ,20201023,16.73
49,000708.SZ,20201022,16.89
50,000708.SZ,20201021,16.83
51,000708.SZ,20201020,17.04
52,000708.SZ,20201019,17.25
53,000708.SZ,20201016,17.11
54,000708.SZ,20201015,17.0
55,000708.SZ,20201014,16.97
56,000708.SZ,20201013,17.15
57,000708.SZ,20201012,17.27
58,000708.SZ,20201009,17.09
59,000708.SZ,20200930,16.58
60,000708.SZ,20200929,16.82
61,000708.SZ,20200928,16.58
62,000708.SZ,20200925,16.51
63,000708.SZ,20200924,16.56
64,000708.SZ,20200923,16.97
65,000708.SZ,20200922,16.95
66,000708.SZ,20200921,17.39
67,000708.SZ,20200918,17.7
68,000708.SZ,20200917,17.41
69,000708.SZ,20200916,17.63
70,000708.SZ,20200915,17.46
71,000708.SZ,20200914,17.29
72,000708.SZ,20200911,17.46
73,000708.SZ,20200910,17.37
74,000708.SZ,20200909,17.09
75,000708.SZ,20200908,16.71
76,000708.SZ,20200907,17.19
77,000708.SZ,20200904,17.31
78,000708.SZ,20200903,17.71
79,000708.SZ,20200902,17.76
80,000708.SZ,20200901,18.17
81,000708.SZ,20200831,18.14
82,000708.SZ,20200828,17.85
83,000708.SZ,20200827,17.69
84,000708.SZ,20200826,17.88
85,000708.SZ,20200825,18.5
86,000708.SZ,20200821,19.03
87,000708.SZ,20200820,19.16
88,000708.SZ,20200819,19.1
89,000708.SZ,20200818,18.82
90,000708.SZ,20200817,18.62
91,000708.SZ,20200814,18.29
92,000708.SZ,20200813,18.33
93,000708.SZ,20200812,18.32
94,000708.SZ,20200811,19.19
95,000708.SZ,20200810,19.22
96,000708.SZ,20200807,19.06
97,000708.SZ,20200806,19.05
98,000708.SZ,20200805,19.33
99,000708.SZ,20200804,19.3
100,000708.SZ,20200803,19.62
101,000708.SZ,20200731,19.53
102,000708.SZ,20200730,19.9
103,000708.SZ,20200729,19.98
104,000708.SZ,20200728,19.68
105,000708.SZ,20200727,18.88
106,000708.SZ,20200724,18.56
107,000708.SZ,20200723,18.3
108,000708.SZ,20200722,18.49
109,000708.SZ,20200721,18.53
110,000708.SZ,20200717,17.84
111,000708.SZ,20200716,18.93
112,000708.SZ,20200715,18.83
113,000708.SZ,20200714,18.81
114,000708.SZ,20200713,18.64
115,000708.SZ,20200710,18.84
116,000708.SZ,20200709,18.8
117,000708.SZ,20200707,18.31
118,000708.SZ,20200706,18.23
119,000708.SZ,20200703,17.72
120,000708.SZ,20200702,17.02
121,000708.SZ,20200701,16.92
122,000708.SZ,20200630,17.09
123,000708.SZ,20200629,16.89
124,000708.SZ,20200624,17.22
125,000708.SZ,20200623,17.11
126,000708.SZ,20200622,17.35
127,000708.SZ,20200619,17.43
128,000708.SZ,20200617,17.19
129,000708.SZ,20200616,16.43
130,000708.SZ,20200615,16.18
131,000708.SZ,20200612,15.6
132,000708.SZ,20200611,15.71
133,000708.SZ,20200610,15.82
134,000708.SZ,20200609,15.58
135,000708.SZ,20200608,15.68
136,000708.SZ,20200605,15.44
137,000708.SZ,20200604,15.7
138,000708.SZ,20200603,15.7
139,000708.SZ,20200602,15.88
140,000708.SZ,20200601,15.9
141,000708.SZ,20200529,15.78
142,000708.SZ,20200528,15.45
143,000708.SZ,20200527,15.63
144,000708.SZ,20200526,15.29
145,000708.SZ,20200525,14.6
146,000708.SZ,20200522,14.94
147,000708.SZ,20200521,15.19
148,000708.SZ,20200520,15.27
149,000708.SZ,20200519,15.78
150,000708.SZ,20200518,15.71
151,000708.SZ,20200515,15.51
152,000708.SZ,20200514,15.7
153,000708.SZ,20200513,15.91
154,000708.SZ,20200512,15.91
155,000708.SZ,20200511,16.06
156,000708.SZ,20200508,15.96
157,000708.SZ,20200507,15.65
158,000708.SZ,20200506,15.52
159,000708.SZ,20200430,16.04
160,000708.SZ,20200429,28.4
161,000708.SZ,20200428,28.66
162,000708.SZ,20200427,28.81
163,000708.SZ,20200424,27.98
164,000708.SZ,20200422,27.46
165,000708.SZ,20200421,27.93
166,000708.SZ,20200420,27.61
167,000708.SZ,20200417,26.87
168,000708.SZ,20200416,26.7
169,000708.SZ,20200415,26.93
170,000708.SZ,20200414,27.27
171,000708.SZ,20200413,26.76
172,000708.SZ,20200410,26.91
173,000708.SZ,20200409,27.3
174,000708.SZ,20200408,27.2
175,000708.SZ,20200407,27.08
176,000708.SZ,20200403,26.38
177,000708.SZ,20200402,25.34
178,000708.SZ,20200401,25.03
179,000708.SZ,20200331,25.37
180,000708.SZ,20200330,25.96
181,000708.SZ,20200327,26.81
182,000708.SZ,20200326,26.07
183,000708.SZ,20200325,25.95
184,000708.SZ,20200324,25.43
185,000708.SZ,20200323,25.34
186,000708.SZ,20200320,25.81
187,000708.SZ,20200319,25.22
188,000708.SZ,20200318,25.32
189,000708.SZ,20200317,24.79
190,000708.SZ,20200313,25.14
191,000708.SZ,20200312,26.16
192,000708.SZ,20200311,27.37
193,000708.SZ,20200310,27.24
194,000708.SZ,20200309,27.43
195,000708.SZ,20200306,29.16
196,000708.SZ,20200305,27.93
197,000708.SZ,20200304,28.5
198,000708.SZ,20200303,28.68
199,000708.SZ,20200302,28.3
200,000708.SZ,20200228,27.18
201,000708.SZ,20200227,27.27
202,000708.SZ,20200226,25.97
203,000708.SZ,20200224,25.4
204,000708.SZ,20200221,24.6
205,000708.SZ,20200219,24.24
206,000708.SZ,20200218,24.07
207,000708.SZ,20200217,24.16
208,000708.SZ,20200214,23.13
209,000708.SZ,20200213,23.32
210,000708.SZ,20200212,23.6
211,000708.SZ,20200211,23.76
212,000708.SZ,20200210,22.23
213,000708.SZ,20200207,21.67
214,000708.SZ,20200206,21.3
215,000708.SZ,20200205,21.18
216,000708.SZ,20200204,20.33
217,000708.SZ,20200203,19.27
218,000708.SZ,20200123,21.79
219,000708.SZ,20200122,23.09
220,000708.SZ,20200121,23.76
221,000708.SZ,20200120,23.44
222,000708.SZ,20200117,23.47
223,000708.SZ,20200116,23.2
224,000708.SZ,20200115,23.12
225,000708.SZ,20200114,23.22
226,000708.SZ,20200113,23.27
227,000708.SZ,20200110,22.95
228,000708.SZ,20200109,23.04
229,000708.SZ,20200108,23.16
230,000708.SZ,20200107,24.02
231,000708.SZ,20200106,22.69
232,000708.SZ,20200103,22.66
233,000708.SZ,20200102,22.93
234,000708.SZ,20191231,22.75
235,000708.SZ,20191230,22.88
236,000708.SZ,20191227,22.59
237,000708.SZ,20191226,22.56
238,000708.SZ,20191225,22.36
239,000708.SZ,20191224,22.63
240,000708.SZ,20191223,23.0
241,000708.SZ,20191220,23.46
242,000708.SZ,20191219,24.12
243,000708.SZ,20191218,24.09
244,000708.SZ,20191217,24.41
245,000708.SZ,20191216,24.92
246,000708.SZ,20191213,25.19
247,000708.SZ,20191212,24.89
248,000708.SZ,20191211,24.92
249,000708.SZ,20191210,24.47
250,000708.SZ,20191209,24.56
251,000708.SZ,20191206,24.29
252,000708.SZ,20191205,24.52
253,000708.SZ,20191204,23.76
254,000708.SZ,20191203,23.11
255,000708.SZ,20191202,23.21
256,000708.SZ,20191129,23.07
257,000708.SZ,20191127,22.56
258,000708.SZ,20191126,21.79
259,000708.SZ,20191125,21.75
260,000708.SZ,20191122,21.73
261,000708.SZ,20191121,21.72
262,000708.SZ,20191120,21.92
263,000708.SZ,20191119,21.96
264,000708.SZ,20191118,21.75
265,000708.SZ,20191115,21.3
266,000708.SZ,20191114,20.75
267,000708.SZ,20191113,20.39
268,000708.SZ,20191112,20.18
269,000708.SZ,20191111,20.1
270,000708.SZ,20191108,21.26
271,000708.SZ,20191107,20.65
272,000708.SZ,20191106,20.77
273,000708.SZ,20191105,20.4
274,000708.SZ,20191101,20.44
275,000708.SZ,20191031,19.94
276,000708.SZ,20191030,20.34
277,000708.SZ,20191029,19.75
278,000708.SZ,20191028,19.27
279,000708.SZ,20191025,18.13
280,000708.SZ,20191023,16.91
281,000708.SZ,20191022,16.25
282,000708.SZ,20191021,15.93
283,000708.SZ,20191018,16.1
284,000708.SZ,20191017,16.31
285,000708.SZ,20191016,16.8
286,000708.SZ,20191015,17.26
287,000708.SZ,20191014,17.3
288,000708.SZ,20191011,17.25
289,000708.SZ,20191010,16.37
290,000708.SZ,20191009,16.35
291,000708.SZ,20191008,16.67
292,000708.SZ,20190930,16.19
293,000708.SZ,20190927,15.99
294,000708.SZ,20190926,16.49
295,000708.SZ,20190925,16.91
296,000708.SZ,20190924,17.4
297,000708.SZ,20190923,17.27
298,000708.SZ,20190920,17.43
299,000708.SZ,20190919,16.79
300,000708.SZ,20190918,16.93
301,000708.SZ,20190917,16.68
302,000708.SZ,20190916,16.66
303,000708.SZ,20190912,16.59
304,000708.SZ,20190911,16.34
305,000708.SZ,20190910,15.83
306,000708.SZ,20190909,15.81
307,000708.SZ,20190906,15.17
308,000708.SZ,20190905,15.06
309,000708.SZ,20190904,15.08
310,000708.SZ,20190903,14.98
311,000708.SZ,20190902,14.93
312,000708.SZ,20190830,14.36
313,000708.SZ,20190829,14.19
314,000708.SZ,20190828,14.03
315,000708.SZ,20190827,14.03
316,000708.SZ,20190826,13.8
317,000708.SZ,20190823,13.95
318,000708.SZ,20190822,14.04
319,000708.SZ,20190821,13.99
320,000708.SZ,20190820,14.03
321,000708.SZ,20190819,13.54
322,000708.SZ,20190816,13.23
323,000708.SZ,20190815,13.11
324,000708.SZ,20190814,13.21
325,000708.SZ,20190813,13.12
326,000708.SZ,20190812,12.84
327,000708.SZ,20190809,12.94
328,000708.SZ,20190808,13.12
