,ts_code,trade_date,avg_price
0,601727.SH,20201231,5.41
1,601727.SH,20201230,5.43
2,601727.SH,20201229,5.5
3,601727.SH,20201228,5.59
4,601727.SH,20201225,5.61
5,601727.SH,20201224,5.59
6,601727.SH,20201223,5.62
7,601727.SH,20201222,5.58
8,601727.SH,20201221,5.58
9,601727.SH,20201218,5.52
10,601727.SH,20201217,5.43
11,601727.SH,20201216,5.56
12,601727.SH,20201215,5.49
13,601727.SH,20201214,5.51
14,601727.SH,20201211,5.6
15,601727.SH,20201210,5.74
16,601727.SH,20201209,5.66
17,601727.SH,20201208,5.66
18,601727.SH,20201207,5.51
19,601727.SH,20201204,5.31
20,601727.SH,20201203,5.34
21,601727.SH,20201202,5.38
22,601727.SH,20201201,5.35
23,601727.SH,20201130,5.33
24,601727.SH,20201127,5.29
25,601727.SH,20201126,5.31
26,601727.SH,20201125,5.38
27,601727.SH,20201124,5.38
28,601727.SH,20201123,5.26
29,601727.SH,20201119,5.18
30,601727.SH,20201118,5.21
31,601727.SH,20201117,5.22
32,601727.SH,20201116,5.2
33,601727.SH,20201113,5.16
34,601727.SH,20201112,5.16
35,601727.SH,20201111,5.15
36,601727.SH,20201110,5.18
37,601727.SH,20201109,5.15
38,601727.SH,20201106,5.07
39,601727.SH,20201105,5.06
40,601727.SH,20201104,5.02
41,601727.SH,20201103,5.06
42,601727.SH,20201102,5.0
43,601727.SH,20201030,5.01
44,601727.SH,20201029,5.05
45,601727.SH,20201028,5.05
46,601727.SH,20201027,5.05
47,601727.SH,20201026,5.1
48,601727.SH,20201023,5.13
49,601727.SH,20201022,5.12
50,601727.SH,20201021,5.16
51,601727.SH,20201020,5.18
52,601727.SH,20201019,5.26
53,601727.SH,20201016,5.26
54,601727.SH,20201015,5.31
55,601727.SH,20201014,5.34
56,601727.SH,20201013,5.31
57,601727.SH,20201012,5.25
58,601727.SH,20201009,5.17
59,601727.SH,20200930,5.04
60,601727.SH,20200929,5.07
61,601727.SH,20200928,5.09
62,601727.SH,20200925,5.13
63,601727.SH,20200924,5.14
64,601727.SH,20200923,5.25
65,601727.SH,20200922,5.3
66,601727.SH,20200921,5.39
67,601727.SH,20200918,5.37
68,601727.SH,20200917,5.29
69,601727.SH,20200916,5.31
70,601727.SH,20200915,5.34
71,601727.SH,20200914,5.36
72,601727.SH,20200911,5.29
73,601727.SH,20200910,5.38
74,601727.SH,20200909,5.48
75,601727.SH,20200908,5.5
76,601727.SH,20200907,5.52
77,601727.SH,20200904,5.55
78,601727.SH,20200903,5.69
79,601727.SH,20200902,5.6
80,601727.SH,20200901,5.56
81,601727.SH,20200831,5.64
82,601727.SH,20200828,5.53
83,601727.SH,20200827,5.51
84,601727.SH,20200826,5.55
85,601727.SH,20200825,5.64
86,601727.SH,20200821,5.74
87,601727.SH,20200820,5.77
88,601727.SH,20200819,5.92
89,601727.SH,20200818,6.05
90,601727.SH,20200817,5.91
91,601727.SH,20200814,5.8
92,601727.SH,20200813,5.97
93,601727.SH,20200812,5.83
94,601727.SH,20200811,5.97
95,601727.SH,20200810,5.75
96,601727.SH,20200807,5.63
97,601727.SH,20200806,5.68
98,601727.SH,20200805,5.82
99,601727.SH,20200804,5.83
100,601727.SH,20200803,5.84
101,601727.SH,20200731,5.52
102,601727.SH,20200730,5.45
103,601727.SH,20200729,5.38
104,601727.SH,20200728,5.33
105,601727.SH,20200727,5.34
106,601727.SH,20200724,5.46
107,601727.SH,20200723,5.46
108,601727.SH,20200722,5.55
109,601727.SH,20200721,5.56
110,601727.SH,20200717,5.38
111,601727.SH,20200716,5.55
112,601727.SH,20200715,5.67
113,601727.SH,20200714,5.87
114,601727.SH,20200713,5.86
115,601727.SH,20200710,5.84
116,601727.SH,20200709,5.96
117,601727.SH,20200707,5.84
118,601727.SH,20200706,5.64
119,601727.SH,20200703,5.26
120,601727.SH,20200702,5.07
121,601727.SH,20200701,4.97
122,601727.SH,20200630,5.03
123,601727.SH,20200629,5.03
124,601727.SH,20200624,5.09
125,601727.SH,20200623,5.19
126,601727.SH,20200622,5.18
127,601727.SH,20200619,5.13
128,601727.SH,20200617,5.01
129,601727.SH,20200616,4.93
130,601727.SH,20200615,4.89
131,601727.SH,20200612,4.78
132,601727.SH,20200611,4.92
133,601727.SH,20200610,4.8
134,601727.SH,20200609,4.88
135,601727.SH,20200608,5.12
136,601727.SH,20200605,4.77
137,601727.SH,20200604,4.43
138,601727.SH,20200603,4.47
139,601727.SH,20200602,4.49
140,601727.SH,20200601,4.49
141,601727.SH,20200529,4.37
142,601727.SH,20200528,4.43
143,601727.SH,20200527,4.41
144,601727.SH,20200526,4.39
145,601727.SH,20200525,4.41
146,601727.SH,20200522,4.52
147,601727.SH,20200521,4.65
148,601727.SH,20200520,4.62
149,601727.SH,20200519,4.67
150,601727.SH,20200518,4.64
151,601727.SH,20200515,4.6
152,601727.SH,20200514,4.61
153,601727.SH,20200513,4.64
154,601727.SH,20200512,4.65
155,601727.SH,20200511,4.71
156,601727.SH,20200508,4.74
157,601727.SH,20200507,4.72
158,601727.SH,20200506,4.74
159,601727.SH,20200430,4.86
160,601727.SH,20200429,4.88
161,601727.SH,20200428,4.82
162,601727.SH,20200427,4.89
163,601727.SH,20200424,4.89
164,601727.SH,20200422,4.92
165,601727.SH,20200421,4.91
166,601727.SH,20200420,4.9
167,601727.SH,20200417,4.8
168,601727.SH,20200416,4.79
169,601727.SH,20200415,4.63
170,601727.SH,20200414,4.64
171,601727.SH,20200413,4.61
172,601727.SH,20200410,4.64
173,601727.SH,20200409,4.7
174,601727.SH,20200408,4.69
175,601727.SH,20200407,4.71
176,601727.SH,20200403,4.63
177,601727.SH,20200402,4.66
178,601727.SH,20200401,4.66
179,601727.SH,20200331,4.64
180,601727.SH,20200330,4.61
181,601727.SH,20200327,4.64
182,601727.SH,20200326,4.63
183,601727.SH,20200325,4.71
184,601727.SH,20200324,4.65
185,601727.SH,20200323,4.69
186,601727.SH,20200320,4.82
187,601727.SH,20200319,4.81
188,601727.SH,20200318,4.94
189,601727.SH,20200317,4.91
190,601727.SH,20200313,4.97
191,601727.SH,20200312,4.93
192,601727.SH,20200311,5.09
193,601727.SH,20200310,5.05
194,601727.SH,20200309,4.95
195,601727.SH,20200306,4.97
196,601727.SH,20200305,4.87
197,601727.SH,20200304,4.69
198,601727.SH,20200303,4.73
199,601727.SH,20200302,4.63
200,601727.SH,20200228,4.55
201,601727.SH,20200227,4.71
202,601727.SH,20200226,4.7
203,601727.SH,20200224,4.78
204,601727.SH,20200221,4.82
205,601727.SH,20200219,4.73
206,601727.SH,20200218,4.76
207,601727.SH,20200217,4.69
208,601727.SH,20200214,4.6
209,601727.SH,20200213,4.64
210,601727.SH,20200212,4.66
211,601727.SH,20200211,4.69
212,601727.SH,20200210,4.69
213,601727.SH,20200207,4.51
214,601727.SH,20200206,4.46
215,601727.SH,20200205,4.42
216,601727.SH,20200204,4.36
217,601727.SH,20200203,4.37
218,601727.SH,20200123,4.89
219,601727.SH,20200122,4.95
220,601727.SH,20200121,5.0
221,601727.SH,20200120,5.02
222,601727.SH,20200117,5.01
223,601727.SH,20200116,5.03
224,601727.SH,20200115,5.05
225,601727.SH,20200114,5.1
226,601727.SH,20200113,5.06
227,601727.SH,20200110,5.08
228,601727.SH,20200109,5.11
229,601727.SH,20200108,5.12
230,601727.SH,20200107,5.18
231,601727.SH,20200106,5.06
232,601727.SH,20200103,5.01
233,601727.SH,20200102,5.02
234,601727.SH,20191231,4.96
235,601727.SH,20191230,4.93
236,601727.SH,20191227,4.92
237,601727.SH,20191226,4.89
238,601727.SH,20191225,4.87
239,601727.SH,20191224,4.86
240,601727.SH,20191223,4.89
241,601727.SH,20191220,4.94
242,601727.SH,20191219,4.98
243,601727.SH,20191218,4.98
244,601727.SH,20191217,5.01
245,601727.SH,20191216,5.01
246,601727.SH,20191213,4.72
247,601727.SH,20191212,4.69
248,601727.SH,20191211,4.71
249,601727.SH,20191210,4.73
250,601727.SH,20191209,4.74
251,601727.SH,20191206,4.73
252,601727.SH,20191205,4.72
253,601727.SH,20191204,4.68
254,601727.SH,20191203,4.66
255,601727.SH,20191202,4.69
256,601727.SH,20191129,4.68
257,601727.SH,20191127,4.71
258,601727.SH,20191126,4.73
259,601727.SH,20191125,4.71
260,601727.SH,20191122,4.66
261,601727.SH,20191121,4.64
262,601727.SH,20191120,4.67
263,601727.SH,20191119,4.68
264,601727.SH,20191118,4.63
265,601727.SH,20191115,4.67
266,601727.SH,20191114,4.73
267,601727.SH,20191113,4.77
268,601727.SH,20191112,4.83
269,601727.SH,20191111,4.87
270,601727.SH,20191108,4.9
271,601727.SH,20191107,4.88
272,601727.SH,20191106,4.9
273,601727.SH,20191105,4.93
274,601727.SH,20191101,4.89
275,601727.SH,20191031,4.9
276,601727.SH,20191030,4.92
277,601727.SH,20191029,5.01
278,601727.SH,20191028,5.03
279,601727.SH,20191025,4.93
280,601727.SH,20191023,4.95
281,601727.SH,20191022,4.95
282,601727.SH,20191021,4.92
283,601727.SH,20191018,4.97
284,601727.SH,20191017,5.01
285,601727.SH,20191016,5.04
286,601727.SH,20191015,5.07
287,601727.SH,20191014,5.12
288,601727.SH,20191011,5.05
289,601727.SH,20191010,5.04
290,601727.SH,20191009,5.02
291,601727.SH,20191008,5.03
292,601727.SH,20190930,5.03
293,601727.SH,20190927,5.03
294,601727.SH,20190926,5.06
295,601727.SH,20190925,5.12
296,601727.SH,20190924,5.17
297,601727.SH,20190923,5.14
298,601727.SH,20190920,5.19
299,601727.SH,20190919,5.14
300,601727.SH,20190918,5.16
301,601727.SH,20190917,5.21
302,601727.SH,20190916,5.32
303,601727.SH,20190912,5.31
304,601727.SH,20190911,5.33
305,601727.SH,20190910,5.32
306,601727.SH,20190909,5.32
307,601727.SH,20190906,5.28
308,601727.SH,20190905,5.27
309,601727.SH,20190904,5.17
310,601727.SH,20190903,5.16
311,601727.SH,20190902,5.17
312,601727.SH,20190830,5.14
313,601727.SH,20190829,5.16
314,601727.SH,20190828,5.19
315,601727.SH,20190827,5.25
316,601727.SH,20190826,5.23
317,601727.SH,20190823,5.37
318,601727.SH,20190822,5.19
319,601727.SH,20190821,5.0
320,601727.SH,20190820,5.0
321,601727.SH,20190819,4.96
322,601727.SH,20190816,4.91
323,601727.SH,20190815,4.87
324,601727.SH,20190814,4.95
325,601727.SH,20190813,4.9
326,601727.SH,20190812,4.89
327,601727.SH,20190809,4.9
328,601727.SH,20190808,4.9
329,601727.SH,20190807,4.94
330,601727.SH,20190806,4.93
331,601727.SH,20190805,5.14
332,601727.SH,20190802,5.19
333,601727.SH,20190801,5.3
334,601727.SH,20190731,5.33
335,601727.SH,20190730,5.39
336,601727.SH,20190729,5.38
337,601727.SH,20190726,5.41
338,601727.SH,20190725,5.43
339,601727.SH,20190724,5.46
340,601727.SH,20190723,5.29
341,601727.SH,20190722,5.3
342,601727.SH,20190719,5.32
343,601727.SH,20190718,5.29
344,601727.SH,20190717,5.32
345,601727.SH,20190716,5.29
346,601727.SH,20190715,5.24
347,601727.SH,20190712,5.27
348,601727.SH,20190711,5.28
349,601727.SH,20190710,5.28
350,601727.SH,20190709,5.27
351,601727.SH,20190708,5.32
352,601727.SH,20190705,5.48
353,601727.SH,20190704,5.49
354,601727.SH,20190703,5.46
355,601727.SH,20190702,5.53
356,601727.SH,20190701,5.52
357,601727.SH,20190628,5.4
358,601727.SH,20190627,5.48
359,601727.SH,20190626,5.45
360,601727.SH,20190625,5.45
361,601727.SH,20190624,5.53
362,601727.SH,20190621,5.56
363,601727.SH,20190620,5.46
364,601727.SH,20190619,5.42
365,601727.SH,20190618,5.33
366,601727.SH,20190617,5.32
367,601727.SH,20190614,5.38
368,601727.SH,20190613,5.38
369,601727.SH,20190612,5.34
370,601727.SH,20190611,5.33
371,601727.SH,20190610,5.23
372,601727.SH,20190606,5.22
373,601727.SH,20190605,5.27
374,601727.SH,20190604,5.24
375,601727.SH,20190603,5.28
376,601727.SH,20190531,5.31
377,601727.SH,20190530,5.27
378,601727.SH,20190529,5.34
379,601727.SH,20190528,5.32
380,601727.SH,20190527,5.26
381,601727.SH,20190524,5.2
382,601727.SH,20190523,5.23
383,601727.SH,20190522,5.3
384,601727.SH,20190521,5.31
385,601727.SH,20190520,5.2
386,601727.SH,20190517,5.34
387,601727.SH,20190516,5.45
388,601727.SH,20190515,5.41
389,601727.SH,20190514,5.34
390,601727.SH,20190513,5.41
391,601727.SH,20190510,5.43
392,601727.SH,20190509,5.38
393,601727.SH,20190508,5.4
394,601727.SH,20190507,5.44
395,601727.SH,20190506,5.5
396,601727.SH,20190430,5.91
397,601727.SH,20190429,5.92
398,601727.SH,20190426,6.15
399,601727.SH,20190425,6.34
400,601727.SH,20190424,6.58
401,601727.SH,20190423,6.48
402,601727.SH,20190422,6.71
403,601727.SH,20190419,6.74
404,601727.SH,20190418,6.98
405,601727.SH,20190417,6.89
406,601727.SH,20190416,6.66
407,601727.SH,20190415,6.7
408,601727.SH,20190412,6.5
409,601727.SH,20190411,6.52
410,601727.SH,20190410,6.44
411,601727.SH,20190409,6.25
412,601727.SH,20190408,6.28
413,601727.SH,20190404,6.28
