,ts_code,trade_date,avg_price
0,002415.SZ,20201231,48.64
1,002415.SZ,20201230,47.1
2,002415.SZ,20201229,46.39
3,002415.SZ,20201228,46.88
4,002415.SZ,20201225,47.4
5,002415.SZ,20201224,46.93
6,002415.SZ,20201223,45.66
7,002415.SZ,20201222,45.24
8,002415.SZ,20201221,44.87
9,002415.SZ,20201218,45.31
10,002415.SZ,20201217,45.17
11,002415.SZ,20201216,46.04
12,002415.SZ,20201215,46.72
13,002415.SZ,20201214,45.7
14,002415.SZ,20201211,44.27
15,002415.SZ,20201210,44.89
16,002415.SZ,20201209,43.96
17,002415.SZ,20201208,44.44
18,002415.SZ,20201207,44.91
19,002415.SZ,20201204,45.66
20,002415.SZ,20201203,45.18
21,002415.SZ,20201202,44.95
22,002415.SZ,20201201,45.38
23,002415.SZ,20201130,46.04
24,002415.SZ,20201127,46.56
25,002415.SZ,20201126,45.58
26,002415.SZ,20201125,46.15
27,002415.SZ,20201124,46.09
28,002415.SZ,20201123,46.78
29,002415.SZ,20201119,47.3
30,002415.SZ,20201118,45.92
31,002415.SZ,20201117,46.86
32,002415.SZ,20201116,47.93
33,002415.SZ,20201113,47.04
34,002415.SZ,20201112,48.07
35,002415.SZ,20201111,48.01
36,002415.SZ,20201110,48.74
37,002415.SZ,20201109,48.84
38,002415.SZ,20201106,48.78
39,002415.SZ,20201105,48.01
40,002415.SZ,20201104,46.67
41,002415.SZ,20201103,45.47
42,002415.SZ,20201102,45.41
43,002415.SZ,20201030,45.6
44,002415.SZ,20201029,44.75
45,002415.SZ,20201028,44.44
46,002415.SZ,20201027,43.77
47,002415.SZ,20201026,42.36
48,002415.SZ,20201023,39.82
49,002415.SZ,20201022,39.77
50,002415.SZ,20201021,39.29
51,002415.SZ,20201020,39.22
52,002415.SZ,20201019,39.25
53,002415.SZ,20201016,38.62
54,002415.SZ,20201015,39.41
55,002415.SZ,20201014,38.78
56,002415.SZ,20201013,39.03
57,002415.SZ,20201012,38.27
58,002415.SZ,20201009,38.07
59,002415.SZ,20200930,37.89
60,002415.SZ,20200929,37.0
61,002415.SZ,20200928,36.3
62,002415.SZ,20200925,36.43
63,002415.SZ,20200924,36.67
64,002415.SZ,20200923,36.67
65,002415.SZ,20200922,36.16
66,002415.SZ,20200921,36.49
67,002415.SZ,20200918,36.35
68,002415.SZ,20200917,36.57
69,002415.SZ,20200916,37.19
70,002415.SZ,20200915,37.27
71,002415.SZ,20200914,36.22
72,002415.SZ,20200911,35.81
73,002415.SZ,20200910,36.17
74,002415.SZ,20200909,35.93
75,002415.SZ,20200908,36.41
76,002415.SZ,20200907,37.13
77,002415.SZ,20200904,37.63
78,002415.SZ,20200903,38.71
79,002415.SZ,20200902,38.02
80,002415.SZ,20200901,37.76
81,002415.SZ,20200831,37.88
82,002415.SZ,20200828,37.46
83,002415.SZ,20200827,37.19
84,002415.SZ,20200826,37.89
85,002415.SZ,20200825,38.38
86,002415.SZ,20200821,37.74
87,002415.SZ,20200820,38.01
88,002415.SZ,20200819,38.33
89,002415.SZ,20200818,38.99
90,002415.SZ,20200817,39.83
91,002415.SZ,20200814,39.85
92,002415.SZ,20200813,39.45
93,002415.SZ,20200812,39.85
94,002415.SZ,20200811,39.81
95,002415.SZ,20200810,37.89
96,002415.SZ,20200807,38.71
97,002415.SZ,20200806,38.3
98,002415.SZ,20200805,38.77
99,002415.SZ,20200804,38.78
100,002415.SZ,20200803,38.41
101,002415.SZ,20200731,36.99
102,002415.SZ,20200730,37.45
103,002415.SZ,20200729,37.14
104,002415.SZ,20200728,36.6
105,002415.SZ,20200727,36.62
106,002415.SZ,20200724,34.1
107,002415.SZ,20200723,35.03
108,002415.SZ,20200722,36.14
109,002415.SZ,20200721,34.76
110,002415.SZ,20200717,34.93
111,002415.SZ,20200716,35.05
112,002415.SZ,20200715,36.42
113,002415.SZ,20200714,36.7
114,002415.SZ,20200713,37.37
115,002415.SZ,20200710,37.34
116,002415.SZ,20200709,37.35
117,002415.SZ,20200707,35.94
118,002415.SZ,20200706,35.23
119,002415.SZ,20200703,32.91
120,002415.SZ,20200702,32.91
121,002415.SZ,20200701,31.64
122,002415.SZ,20200630,30.09
123,002415.SZ,20200629,29.56
124,002415.SZ,20200624,30.21
125,002415.SZ,20200623,29.61
126,002415.SZ,20200622,29.92
127,002415.SZ,20200619,30.19
128,002415.SZ,20200617,29.09
129,002415.SZ,20200616,28.62
130,002415.SZ,20200615,28.45
131,002415.SZ,20200612,28.47
132,002415.SZ,20200611,28.81
133,002415.SZ,20200610,29.08
134,002415.SZ,20200609,29.28
135,002415.SZ,20200608,29.3
136,002415.SZ,20200605,28.65
137,002415.SZ,20200604,28.5
138,002415.SZ,20200603,28.61
139,002415.SZ,20200602,28.55
140,002415.SZ,20200601,28.22
141,002415.SZ,20200529,27.5
142,002415.SZ,20200528,28.2
143,002415.SZ,20200527,28.36
144,002415.SZ,20200526,28.5
145,002415.SZ,20200525,28.05
146,002415.SZ,20200522,30.09
147,002415.SZ,20200521,29.84
148,002415.SZ,20200520,29.98
149,002415.SZ,20200519,30.05
150,002415.SZ,20200518,29.99
151,002415.SZ,20200515,30.94
152,002415.SZ,20200514,31.39
153,002415.SZ,20200513,31.92
154,002415.SZ,20200512,32.02
155,002415.SZ,20200511,32.01
156,002415.SZ,20200508,32.05
157,002415.SZ,20200507,31.9
158,002415.SZ,20200506,31.88
159,002415.SZ,20200430,31.86
160,002415.SZ,20200429,31.01
161,002415.SZ,20200428,30.85
162,002415.SZ,20200427,31.05
163,002415.SZ,20200424,29.76
164,002415.SZ,20200422,29.93
165,002415.SZ,20200421,30.06
166,002415.SZ,20200420,30.71
167,002415.SZ,20200417,30.44
168,002415.SZ,20200416,29.94
169,002415.SZ,20200415,30.11
170,002415.SZ,20200414,29.91
171,002415.SZ,20200413,29.02
172,002415.SZ,20200410,29.52
173,002415.SZ,20200409,30.1
174,002415.SZ,20200408,30.57
175,002415.SZ,20200407,30.95
176,002415.SZ,20200403,30.61
177,002415.SZ,20200402,29.69
178,002415.SZ,20200401,28.72
179,002415.SZ,20200331,28.0
180,002415.SZ,20200330,27.35
181,002415.SZ,20200327,28.61
182,002415.SZ,20200326,28.5
183,002415.SZ,20200325,28.87
184,002415.SZ,20200324,27.58
185,002415.SZ,20200323,27.6
186,002415.SZ,20200320,29.04
187,002415.SZ,20200319,28.6
188,002415.SZ,20200318,29.75
189,002415.SZ,20200317,29.05
190,002415.SZ,20200313,31.47
191,002415.SZ,20200312,33.01
192,002415.SZ,20200311,34.12
193,002415.SZ,20200310,33.81
194,002415.SZ,20200309,33.92
195,002415.SZ,20200306,35.42
196,002415.SZ,20200305,35.92
197,002415.SZ,20200304,35.26
198,002415.SZ,20200303,36.27
199,002415.SZ,20200302,35.27
200,002415.SZ,20200228,35.63
201,002415.SZ,20200227,36.87
202,002415.SZ,20200226,37.24
203,002415.SZ,20200224,39.07
204,002415.SZ,20200221,39.56
