,ts_code,trade_date,avg_price
0,300003.SZ,20201231,27.08
1,300003.SZ,20201230,26.78
2,300003.SZ,20201229,26.67
3,300003.SZ,20201228,26.59
4,300003.SZ,20201225,26.33
5,300003.SZ,20201224,26.93
6,300003.SZ,20201223,27.35
7,300003.SZ,20201222,28.46
8,300003.SZ,20201221,28.4
9,300003.SZ,20201218,28.3
10,300003.SZ,20201217,28.5
11,300003.SZ,20201216,28.01
12,300003.SZ,20201215,27.92
13,300003.SZ,20201214,27.25
14,300003.SZ,20201211,28.01
15,300003.SZ,20201210,28.73
16,300003.SZ,20201209,28.38
17,300003.SZ,20201208,28.84
18,300003.SZ,20201207,29.13
19,300003.SZ,20201204,29.45
20,300003.SZ,20201203,29.75
21,300003.SZ,20201202,29.59
22,300003.SZ,20201201,29.35
23,300003.SZ,20201130,28.93
24,300003.SZ,20201127,28.68
25,300003.SZ,20201126,28.57
26,300003.SZ,20201125,28.67
27,300003.SZ,20201124,29.43
28,300003.SZ,20201123,29.54
29,300003.SZ,20201119,30.22
30,300003.SZ,20201118,30.25
31,300003.SZ,20201117,30.12
32,300003.SZ,20201116,30.78
33,300003.SZ,20201113,30.76
34,300003.SZ,20201112,30.61
35,300003.SZ,20201111,28.9
36,300003.SZ,20201110,29.3
37,300003.SZ,20201109,29.31
38,300003.SZ,20201106,29.26
39,300003.SZ,20201105,30.12
40,300003.SZ,20201104,30.92
41,300003.SZ,20201103,30.03
42,300003.SZ,20201102,29.34
43,300003.SZ,20201030,31.03
44,300003.SZ,20201029,31.55
45,300003.SZ,20201028,31.37
46,300003.SZ,20201027,31.55
47,300003.SZ,20201026,31.08
48,300003.SZ,20201023,31.66
49,300003.SZ,20201022,31.5
50,300003.SZ,20201021,31.67
51,300003.SZ,20201020,31.14
52,300003.SZ,20201019,31.84
53,300003.SZ,20201016,34.3
54,300003.SZ,20201015,34.45
55,300003.SZ,20201014,34.77
56,300003.SZ,20201013,35.38
57,300003.SZ,20201012,34.68
58,300003.SZ,20201009,33.92
59,300003.SZ,20200930,33.72
60,300003.SZ,20200929,33.4
61,300003.SZ,20200928,32.96
62,300003.SZ,20200925,32.88
63,300003.SZ,20200924,33.15
64,300003.SZ,20200923,33.79
65,300003.SZ,20200922,33.59
66,300003.SZ,20200921,33.62
67,300003.SZ,20200918,33.21
68,300003.SZ,20200917,32.75
69,300003.SZ,20200916,33.83
70,300003.SZ,20200915,34.06
71,300003.SZ,20200914,34.21
72,300003.SZ,20200911,34.44
