ts_code,pb
002607,39.765737117903896
603392,38.659308252427195
688012,20.595909390862946
300122,19.65847790927025
300601,19.29733702213277
603288,18.845582248520703
600763,18.378809072978292
300015,16.983379120879096
603658,16.315513116370827
600570,15.627389426877476
300529,15.570824358974352
603501,15.087373821989553
600276,14.713010848126236
603160,13.955284615384619
300033,13.706038954635098
603986,13.598516287015926
002841,13.532854191616769
603195,13.170240151515141
600436,12.695023570019716
688008,12.584839847715747
600588,11.510226185770748
002027,11.404209072978317
600809,11.24641196410769
300136,11.146030670611424
002410,10.916633037475346
600760,10.68166866267465
600519,10.62575887573965
603899,10.21457771203155
300347,9.998628642220018
601888,9.905025838264308
002821,9.901727810650883
000661,9.804192139303472
002460,9.796279960513317
300142,9.75172228796846
300676,9.643307305936052
002415,9.551045652173901
300628,9.516025465838513
002916,9.455289116517283
603087,9.232498809523806
002049,8.759211358574607
002773,8.743270019723875
603259,8.73469259796806
002044,8.727966303270556
300124,8.609610468594221
002007,8.440882840236688
002475,8.407051530108598
002032,8.396351332675216
002812,8.372058092175779
603019,8.306232640949558
600161,8.302257780195868
002714,8.291224161735707
300413,8.199491617473434
002371,8.192986193293883
688036,8.020034782608708
600872,8.007264201183437
002230,7.789779289940826
300014,7.499742702169623
601100,7.491813609467455
002945,7.384883720930239
300003,7.383069230769225
002555,7.294514656031908
002120,7.195855917159762
600887,7.141415544554457
603833,6.954308814270734
000895,6.9398167167167175
000596,6.9342781065088746
000568,6.872728895463522
002558,6.8623951991828385
002414,6.696787968441818
000858,6.592067652859953
002352,6.429636795252226
603799,6.394435329341314
002311,6.137728895463517
300408,6.035220717131465
002508,6.022381952662716
601360,6.0133543721973
002179,5.992344871794869
600118,5.872420710059168
601698,5.705592926829268
600845,5.650991510365266
002008,5.529753944773176
600745,5.455071720818296
002050,5.3942483606557365
002304,5.370791321499013
300059,5.288793885601588
002624,5.269820517928286
000963,5.100795956607498
002271,5.089342209072981
603369,5.079041124260344
600183,5.0649553254437905
601012,4.9019783730158695
002236,4.88759110671937
600111,4.815355818540433
601236,4.80198518518519
002463,4.780257396449704
002938,4.716729411764708
600085,4.704810749506907
002153,4.699863545816742
601696,4.659721600000004
000066,4.601413510848124
002456,4.572927833001985
000538,4.39197294484911
000333,4.345378850102667
300498,4.334850690335308
002600,4.32751393534002
002252,4.307476586741882
300144,4.30281725838264
600233,4.2420487179487205
601066,4.219859787556908
600309,4.146199550056236
002602,4.1396176923076915
000977,4.098871856287422
000723,4.062357621247113
601933,4.038173412698415
600009,4.026775739644971
002241,4.02642061143985
000063,3.999121428571433
600848,3.9611219850586994
300433,3.917373964497039
002384,3.9088237288135605
600547,3.8786626016260124
601138,3.853836486486484
600271,3.8520346878097134
600703,3.818708086785005
000860,3.7599837278106434
000651,3.698973485600802
002493,3.644663708086783
600346,3.575627444794955
002594,3.5122478303747506
601231,3.5102100397614326
600600,3.4928951676528586
600406,3.4826148842337354
002157,3.434524901185771
600487,3.4178739436619723
600989,3.412226363636361
600660,3.368165088757398
600918,3.321081521739133
600498,3.294768244575936
000768,3.2938748520710113
600438,3.246112426035503
603156,3.188136842105262
601990,3.1851120663650034
002739,3.157170699708453
600196,3.1407667652859974
600031,3.0907799802761295
600584,3.066126673326671
