ts_code,pe
601808,756.9275003973511
688012,573.9377377604167
600745,497.8816197580646
600570,444.8395479041917
603392,395.7274408163265
300122,377.42774860557773
600010,367.59739123376625
603501,349.18360437665774
600050,331.3031586358636
300142,311.99119187227865
603799,308.11286505894964
600584,307.0591443699732
002352,298.79509880119883
600760,243.0446512526096
000066,216.94158058252424
300413,204.7264555555556
600150,202.39752763157895
600111,202.04619681274903
002371,200.7421482071713
002414,194.6845517928287
601360,175.7652785714286
600489,169.8831641490433
601788,169.1475311752988
601989,165.94284215686275
300601,162.79700965447157
601698,148.48720775
002607,146.36174503311256
600233,140.68129013944224
002230,132.0568153386454
002463,130.48789701195219
600588,130.2833622754491
300676,129.74608602771363
601162,127.85751316725978
002410,126.10041095617531
603986,119.64901543778801
600031,119.21346623505976
002384,116.0658830835118
601236,115.41618582278481
688008,111.90978385416668
300015,107.89876074672047
600161,107.18212387238724
000768,106.21231055776892
002460,103.33039611166501
300347,101.68533523523524
002945,100.4232648221344
601377,100.2156977977978
601100,99.93386713147409
002049,99.70609346846847
002044,99.43671616915421
002120,97.88108476095616
601600,97.80817273743017
300059,97.33318695219124
002714,96.27225498007968
601990,94.49323874425728
603019,91.07723376623377
002812,90.86602946912244
600763,90.19114621513944
603259,89.31397702503682
601696,87.00800791666667
600118,80.7835596613546
002153,80.34948410462776
000425,77.02566623505976
600276,77.01010737051793
002252,75.72960437636762
600547,75.63671478439424
300529,75.40008256972112
002594,75.25040029880478
600436,73.44670239043825
002157,71.79242754491017
601857,71.3495829681275
002673,70.8258390781563
600848,70.7954430420712
002821,70.5520405378486
002456,68.34474220183486
603160,68.25727390438247
002600,68.04778069073784
603658,66.59669083665338
000938,65.37852249742002
600893,65.19043152064451
603087,64.7618911392405
603993,64.23653207171314
000661,63.93154984924624
000977,62.670572479838704
600809,62.58905216515609
300014,61.94201663346614
002602,61.44578722222222
603288,61.02005986055777
000725,59.88228157370518
002475,57.8480444666002
002916,57.73108754863813
300124,57.209963645518634
600845,57.01449760717847
002773,56.40720916334661
002129,56.19426988265971
601933,55.983384769539086
002024,55.84936037924153
002939,54.8863920071048
300033,54.671820617529875
600369,54.57412739043826
600872,54.45970179282869
000783,54.24576474103586
688036,54.11740179104477
601888,54.066010458167334
300433,53.82230418326693
300136,53.43683217131474
601901,53.06463390342053
000157,52.083071447368425
