ts_code,month_amount
300059,161550576939.22
002594,134447218137.71143
600519,132227747683.42857
601318,129282731838.14285
000858,113271439287.33
601012,111435842337.28572
000725,107587556622.63428
002475,84177445561.34856
600030,83253899749.0
002241,71504245310.13715
600196,67781414641.71429
000100,65529746424.942856
601888,64512641926.85714
600036,64010015472.42857
600438,60652681501.0
300122,58219310551.522865
000651,58019935102.799995
600031,56669417866.42857
601899,55010572611.28571
300142,54579047924.29
000568,54123059851.93429
000333,53759456833.93
600887,53619674708.85714
600276,53592255314.85714
002460,52764087862.40715
002415,50493643164.262856
600584,49928380681.71429
002714,49597405433.96143
603799,48652586764.71429
601166,48155068868.85714
300433,47825827430.74571
601216,45913746073.57143
000002,45735634917.344284
600703,45663504311.42857
000063,44803751351.801414
000661,44468737254.34286
600893,44074656455.57143
000625,44035371254.60143
000001,42834962671.57286
300014,42713769629.527145
603501,41273971987.14286
002049,40380632658.32857
600745,39153053569.28571
002230,38232682613.38
603986,37556913667.14286
600111,37360078320.28571
603259,36578833186.85714
002304,36289110304.64286
002352,36224786651.90429
603993,35483197459.85714
600309,35074036711.42857
002129,33911684091.852856
600809,33194000454.857143
600585,33029551608.142857
601601,32844115899.857143
601066,32736266944.42857
002007,32632013601.455715
300015,32434589876.334286
600104,30385161610.142857
600690,29574802437.714287
002027,29402270033.039997
002371,29290937821.188572
600760,29067973924.57143
600570,28606739229.857143
601688,28405132300.0
002555,27848898221.66143
601919,27021460042.285713
600048,26896893011.714287
601398,26758240005.857143
600009,26584728277.0
600109,26477414616.0
002142,26385605956.985714
601788,26345185816.857143
300136,25755367631.384285
300601,25588205532.335716
000768,25428518872.82
000338,25138757046.018566
000876,24412997605.861427
601668,24202012566.714287
600436,23986484891.714287
601628,23981410873.0
000066,23959757783.269997
002202,23748764323.985718
000157,23743367227.517143
300033,23565761446.957146
002456,23486648622.02
600660,23432246467.714287
601336,23299503895.0
002236,23029387486.74143
601633,22623559784.142857
601108,22536368953.57143
600999,22301220543.714287
000776,22273023472.28
002157,21470348955.867146
601878,21288963287.714287
002271,21144425654.26429
300124,21116708577.644287
600346,21000390725.285713
002008,20848520618.85143
002600,20594400949.90429
000538,20437068026.905712
600362,20376235920.714287
603288,20076698815.0
600837,19721351824.57143
002384,19617966978.254284
000977,19122288133.73
300676,19116185582.335716
601377,18943922970.714287
600352,18302723520.285713
600588,18300891109.57143
002493,18286781439.131428
002624,17757336191.92857
000938,17394508799.420002
300003,17224791871.755714
300347,17209488470.742855
603019,17067042535.142857
600547,16864770732.285715
002001,16816807227.699999
601939,16708124715.571428
002812,16626477832.128572
600176,16559446307.0
600183,16548437060.857143
002601,16519958570.687143
600118,16302366801.142857
002050,16097626362.52286
000895,15603542578.265715
600918,15410069726.0
688012,15282592755.571428
000963,15059932412.635714
000860,14755252335.36
601766,14647861870.142857
603369,14642291904.428572
300498,14488328846.742857
601211,14324392464.142857
600900,14319664899.0
603160,14229394411.714285
002916,14184264360.327139
000723,14031382626.964289
601818,13932250768.714285
002821,13847379471.1
002044,13846976785.137142
601088,13817890308.0
600019,13796794332.571428
600763,13760831490.0
300413,13743970421.904284
002179,13737536083.505716
601288,13210991527.857143
000596,13191863098.214285
300408,12989931973.474283
000703,12911293268.800001
600600,12896045529.285715
600741,12865947080.285715
600000,12613845722.285715
601100,12366062903.714285
002739,12343134612.23857
601162,12330694229.428572
002311,12254917782.002857
601901,12074880124.857143
000425,11624946083.934286
600958,11545744642.714285
002410,11422864942.320002
601658,11330217282.285715
600050,11319239719.285715
002414,11314211697.622854
601238,11125773706.142857
000728,11122990674.802856
002602,11046349095.314287
600161,11015620765.285715
601933,10970936531.0
002938,10963923861.651428
600872,10935453478.0
601225,10910879013.428572
601838,10889907033.142857
600926,10844989648.285715
600028,10807189064.0
000786,10805908773.928572
600989,10791106481.0
601328,10783771287.857143
601138,10630898521.428572
600406,10485416192.142857
688008,10402387914.857143
002463,10390070698.405714
600016,10293285461.571428
601600,10090896011.428572
601111,10087080413.142857
601696,10053295931.428572
600383,9998781408.0
002673,9809134414.885715
300529,9622010128.652859
601990,9556616834.571428
688036,9520889367.428572
600010,9490494480.714285
601877,9488406028.142857
601009,9311340896.857143
300144,9273084017.19
002607,9188968650.087145
601881,8799205129.428572
000166,8779888893.902857
601989,8773306925.428572
601319,8698006947.285715
601360,8674225154.571428
601186,8634290943.857143
600522,8632908213.714285
601231,8571198289.285714
600085,8422140856.857142
601390,8352231273.142858
600489,8288050724.428572
601988,8183639944.714286
600061,8169076094.0
603658,7970083637.857142
601555,7911712057.0
601857,7908184587.714286
603392,7880461383.0
002508,7861150464.424286
600845,7817217579.857142
600919,7678398848.0
600606,7562522316.571428
600029,7469752826.0
603195,7418699493.0
603087,7287906136.857142
601618,7284585717.142858
601607,7232282766.285714
601155,7191433001.285714
601727,7182917856.428572
601698,7149208219.428572
000656,7125267529.127143
002958,7105164087.392858
000783,7097056100.361428
002736,7055479811.384286
601236,6703446294.714286
000069,6683411146.632856
600233,6616922843.571428
600066,6529107862.857142
601816,6494298538.0
000961,6446529699.971429
002024,6431444658.157143
002120,6422134562.841429
002422,6361319056.397142
600004,6210789565.285714
601021,6168249605.428572
601169,5846171762.142858
601117,5819118805.857142
601872,5794930120.0
600498,5665118189.285714
603899,5631457396.0
002939,5558993034.17
603833,5464940977.714286
600150,5392162235.571428
002252,5372746128.287143
600297,5312456492.428572
600655,5288521671.428572
600332,5208213195.571428
600340,5184264194.571428
601985,5144486251.428572
600487,5096805887.714286
300628,5078113196.914286
601229,5067372178.857142
600115,5026922927.714286
601800,5001362268.571428
601669,4937841907.428572
601198,4912893424.0
600705,4881252072.714286
002945,4716642853.475715
000671,4640203891.055715
002773,4284446181.3428574
601577,4240433298.857143
600015,4157891292.142857
600068,4084367752.0
601006,4026322154.285714
600011,3992187170.142857
601808,3926483027.285714
001979,3842758005.8128576
600369,3831811484.857143
601916,3745060396.142857
003816,3691346202.13
601077,3667405968.857143
002146,3654546069.5728574
002153,3515588518.945714
600177,3441412885.0
600208,3432507891.857143
600018,3346826924.714286
688009,3306904291.142857
600886,3200704841.714286
002841,3189245450.7957144
002558,3119977269.8228574
601998,3044056763.142857
600998,3016027353.285714
600025,2889763324.714286
600271,2861915385.857143
600299,2817750790.285714
600482,2801720376.0
002032,2772684524.8142858
600027,2576060609.571429
600637,2536327836.857143
600390,2508739479.714286
000708,2473554936.1285715
600795,2443695398.142857
603156,2349322031.428571
600848,2152088598.857143
000627,1963490891.957143
