ts_code,assets_liab_ratio
688008,20.22102937905438
300628,12.75533184516658
002252,11.402737662767704
002007,8.225941150847783
300408,8.194712546052079
603087,8.136481678780738
600276,7.879063802173903
002773,5.636174428317212
300529,5.591285974287976
600161,5.365160176565714
603986,4.951886953195751
002153,4.661131644910562
002558,4.35966750758014
603156,4.273420598369819
603160,4.007714714934736
000858,3.9945833528171364
600436,3.992800936262136
601360,3.962854802475789
000538,3.6866241147524725
002821,3.6631038300631813
600299,3.625163609991244
600519,3.618426260481825
300676,3.485223842096882
300033,3.4194254839806453
603369,3.2641591236070813
600085,3.2560865488208965
002049,3.1988587783212554
002414,3.1672064748715183
000568,3.1103919406886797
600009,3.1097745700905275
600585,3.101629954512378
600703,3.0655143088734405
600637,3.0495963820177154
603288,3.020917666716364
002027,2.967268188765679
300347,2.841443573702183
600271,2.818757836201286
603195,2.79130615999741
300144,2.7067564423844797
002304,2.700561076990878
601888,2.6917469126193065
600111,2.6678106748252617
600352,2.6238790250073203
002415,2.623118454447891
688012,2.609666899141499
600872,2.504569043774497
000661,2.4777114651223378
300142,2.475772118721361
002508,2.4613494884790805
600482,2.4406739013612637
002624,2.3641837254694664
601100,2.300111875017815
002050,2.147496435969607
000627,2.1411875065141013
000596,2.1377359162098086
002001,2.129361947334166
600522,2.1290816692368084
600763,2.126590484034615
600845,2.1258167520626694
002032,2.111114854236797
600848,2.109753329596666
300601,2.101662585875979
300124,2.068906992727848
603392,2.0662685780851446
603899,2.05701251595579
002410,2.0527363614630625
603259,1.9826250088259036
002179,1.963972930797466
600208,1.9424027804417474
002555,1.9106549701256577
600118,1.9033278078732974
000157,1.8928077248733173
002236,1.8724652704310465
002602,1.863962957617852
603658,1.8559869105281606
601698,1.8335264420088244
688036,1.809170205940217
603993,1.7789272584483282
000963,1.7725463367691425
600406,1.7662402271303919
601231,1.7660088440496522
600332,1.7509542572633838
002463,1.741137966179177
600183,1.7411076205148814
600809,1.7385771363729081
601006,1.7189942460597645
002938,1.709010821278392
002841,1.7090040273555427
002230,1.69237970156471
600048,1.6906010390774533
002460,1.6824613214909032
000938,1.6787070827954353
000860,1.6559564170400385
002008,1.6509592896620766
601989,1.6413747149756388
300498,1.6408825392477124
600233,1.6391456276029963
300122,1.6235049023394994
603019,1.6210300274557634
000425,1.614775386039712
000069,1.6147670763014406
000725,1.6040091320149934
601138,1.588127611499949
000671,1.5821212004602618
000656,1.579828571643408
300136,1.5759509748138387
600066,1.5701141063756283
601238,1.5652802529675198
600150,1.5631967774684388
600031,1.5565586848011004
601088,1.555478676990331
002271,1.5553979448513575
001979,1.5497889722845077
300413,1.5425499627164383
600340,1.5340024768492322
603501,1.5267586601756251
300059,1.521328568654325
600018,1.519146398001145
000786,1.5173770218294167
000977,1.5135403370155514
600383,1.5132908897309947
688009,1.4953563519704987
600655,1.4799233944057943
000066,1.4793981339423268
600600,1.4781116196265611
601012,1.472563556412577
603833,1.4713463302829721
002371,1.4637491688067406
600570,1.4585060192012187
000895,1.457047841160408
002812,1.4566134832998685
601877,1.435352032136869
002120,1.4239581367590968
300015,1.4065276335144161
000333,1.406001689379012
002146,1.3892512411801983
600061,1.3814016501038306
000768,1.3632515895442914
600362,1.3534382529585736
300003,1.349310998373722
601808,1.3456990058700364
601117,1.3454509214564982
600498,1.3438761542003417
601607,1.3279614859750275
002475,1.310118968704824
600998,1.2981436342388162
601668,1.2970050795644266
600660,1.2964191236308766
601633,1.2959582828712164
600606,1.294831524821925
002352,1.2794586440873064
600487,1.2759352330837723
000961,1.268489014416413
601727,1.2620401575984945
300014,1.2457532719396942
600068,1.244697997909191
002600,1.2386004884758968
000338,1.2327238896158907
000651,1.2200658863914822
601766,1.2199455453841261
002311,1.217936243127136
601021,1.2137212022183381
600741,1.2037121397326234
600760,1.1987693381603404
000063,1.1852402779664666
002024,1.184281360267804
601933,1.180896866688096
601225,1.1645478556356874
600893,1.163117411192811
000002,1.1611443957884948
601618,1.157964511526267
601186,1.150541916665164
002241,1.1488104814079572
600297,1.1232033368965975
600104,1.1209706846647935
000100,1.110130375961351
002916,1.1067969304822651
002202,1.1017797237579912
000625,1.100405668940916
601155,1.0989342346017161
601390,1.083248743976357
601669,1.0818611573674213
600690,1.0818039338632135
600196,1.0723948766773905
600588,1.0675015396051226
002422,1.0372029163729493
601800,1.0203374070192028
603799,1.0189673893475473
