ts_code,profit_to_gr
300347,57.40763333333333
002714,57.05233333333333
688008,56.0102
300059,54.35906666666667
300628,53.801899999999996
002945,53.33063333333333
600519,52.919533333333334
002252,49.60776666666666
300529,48.86826666666667
002558,46.46216666666667
601066,46.185075
000568,44.04163333333333
600177,43.89403333333333
601229,41.372766666666664
000776,41.33236666666667
300033,41.226400000000005
601838,40.666399999999996
002304,40.4765
601077,40.25206666666667
601688,40.197900000000004
002414,40.12936666666667
603156,39.8423
601009,39.775933333333334
601990,39.0139
002001,38.58086666666667
600999,38.42986666666667
600900,38.26036666666666
002142,38.010533333333335
000858,37.539966666666665
601988,37.1228
600848,36.968066666666665
601939,36.904
002736,36.797333333333334
601166,36.55786666666666
000661,36.54553333333333
601788,35.974066666666666
601169,35.756933333333336
002007,35.41479999999999
600018,35.406533333333336
600061,35.372899999999994
601696,35.285849999999996
601198,35.1538
601398,35.14436666666666
600036,35.01786666666666
601211,34.7342
600109,34.0122
300408,33.70856666666666
601577,33.41636666666667
600919,33.4138
601288,33.322066666666665
603369,33.02373333333333
600837,32.87146666666666
600030,32.853566666666666
300676,32.65153333333333
601236,32.56755
600208,32.153166666666664
601881,31.83116666666667
002958,31.670833333333334
600926,31.388166666666667
600369,30.800966666666667
000783,30.671699999999998
600918,30.64646666666667
600390,30.55056666666667
601328,30.3874
601916,30.364099999999997
000728,30.301599999999997
600000,30.286900000000003
600886,29.492733333333334
600016,29.07255
000166,29.0669
601555,29.042533333333335
600352,29.0117
601872,28.981466666666666
002049,28.79343333333333
600705,28.728333333333335
603087,27.662533333333332
300003,27.591933333333333
601108,27.565133333333335
002673,27.524833333333333
601818,27.49926666666667
603288,27.4345
600436,27.2709
601100,27.245233333333335
603392,27.16613333333333
600161,26.918666666666667
600989,26.159233333333333
002812,26.019733333333335
601998,25.952475
600809,25.706833333333332
600383,25.571233333333335
002773,25.528566666666666
601658,25.1084
002939,24.1109
002821,23.984400000000004
601162,23.828233333333333
601088,23.596333333333334
002624,23.3723
600276,22.979
601901,22.7872
003816,22.606366666666663
002601,21.698833333333337
603658,21.629099999999998
300144,21.5031
600585,21.472533333333335
601985,21.3591
603986,21.30503333333333
002555,21.219533333333334
300122,21.1811
601012,21.074099999999998
002602,21.0641
601698,20.833066666666667
300601,20.580733333333335
600015,20.32295
601225,19.79216666666667
002508,19.74466666666667
600845,19.6168
000001,19.514174999999998
600872,19.313833333333335
600703,18.9958
601360,18.987533333333335
000596,18.817966666666667
603160,18.71833333333333
002415,18.70486666666667
600958,18.6511
601216,18.5124
601377,18.375533333333333
601006,18.101399999999998
603195,18.09476666666667
603259,17.888266666666667
300413,17.88076666666667
600025,16.9029
000538,16.7208
300014,16.55333333333333
600048,16.270033333333334
300124,16.094533333333334
600031,15.909033333333335
600340,15.8298
002027,15.800866666666666
002463,15.739999999999997
601878,15.336966666666669
600637,15.308325
002157,14.877633333333334
600176,14.4818
300015,13.5447
002236,13.3989
000069,13.2216
600299,13.1025
002179,13.017566666666667
600763,12.8313
300433,12.830866666666665
000157,12.771366666666665
600183,12.727933333333333
688012,12.425433333333332
300498,12.363
