ts_code,month_vol
000725,18974433992.57143
000100,8617464017.0
600010,7693476195.142858
603993,6309579355.428572
601899,6252464805.714286
601216,6100980081.285714
300059,5573203772.428572
601398,5257257671.571428
601668,4708023815.0
601288,4119794360.0
601818,3439794328.857143
002027,3195483796.571429
600030,2748803591.571429
601600,2739363395.0
601919,2645929674.142857
600028,2610379476.571429
601939,2534006635.714286
601988,2524975780.571429
600111,2502160764.142857
601166,2454956227.428571
601618,2446958365.285714
600050,2367758175.285714
000001,2345008915.571429
601328,2334148945.0
601766,2294204411.0
000157,2247269866.142857
600019,2241908590.857143
000625,2212584281.285714
601377,2194646691.571429
601658,2156090708.0
000723,2028645270.142857
601162,1959115432.4285715
000425,1943693791.2857144
600016,1928994649.142857
601989,1928964454.5714285
601857,1846088493.142857
002241,1809454953.2857144
002202,1800527994.2857144
600438,1748624746.2857144
600031,1733870055.4285715
600048,1687030907.857143
002600,1673564631.4285715
600109,1653182561.142857
000166,1637874384.857143
600703,1624103151.0
601108,1617114527.4285715
000002,1579068807.2857144
601318,1565696330.0
600297,1551271796.857143
002475,1538956457.4285715
002456,1511045912.4285715
601390,1493197199.5714285
600036,1470449018.142857
601688,1454890731.142857
600837,1422971418.7142856
300433,1414076929.7142856
601933,1383614528.5714285
000338,1378187645.0
601878,1365854428.142857
000776,1352270700.142857
002958,1350783971.4285715
601111,1347106240.2857144
000066,1341386941.4285715
601012,1324880856.0
002129,1320656504.5714285
600104,1311049696.4285715
003816,1302443932.4285715
601901,1296115870.7142856
601727,1288349870.0
600919,1287376360.857143
002602,1281382231.4285715
600887,1280100303.0
000063,1276343683.142857
601319,1275875234.2857144
601788,1273272004.7142856
600000,1255822825.0
600029,1247734482.0
601669,1226302946.2857144
600196,1209139358.4285715
601169,1207525927.7142856
600352,1193707025.5714285
600584,1176048338.4285715
600795,1154253842.857143
000728,1143859487.7142856
601225,1121696608.7142856
601009,1109461090.5714285
601816,1108523224.5714285
600690,1101765850.857143
600606,1096063426.857143
300142,1090697999.2857144
002157,1088875638.2857144
601985,1063574122.2857143
002415,1050621319.2857143
601838,1043244078.7142857
600208,1028993013.7142857
600705,1028795482.1428572
600115,1025093787.5714285
601186,1024889596.7142857
002236,1020348563.1428572
600958,1014755013.0
600362,991686171.5714285
002044,983118386.5714285
002673,979800278.8571428
601872,973186678.5714285
600999,970846433.0
000651,967297693.4285715
601117,965869017.4285715
600918,954886344.5714285
600176,939357715.1428572
000703,936397564.0
000069,923504920.1428572
601601,923309219.5714285
601916,904871421.4285715
601238,898844174.2857143
002230,896773629.8571428
000876,887322116.1428572
002555,854972079.4285715
000656,853909744.7142857
000768,849321931.5714285
000783,846298653.5714285
600489,839820341.4285715
600893,825046966.0
600011,805191632.7142857
600926,799115762.8571428
600989,797606487.1428572
601077,794959790.1428572
002594,791236705.5714285
601088,790355759.1428572
601211,784697747.4285715
600522,784483770.1428572
601633,781463166.2857143
601555,777829789.0
600346,770390602.5714285
603799,760959446.5714285
002384,747843776.0
601138,740562205.7142857
002142,740452502.2857143
600900,735894552.8571428
600018,729506806.8571428
600383,723773729.5714285
600027,714346041.1428572
002024,712477775.2857143
000961,710519938.4285715
601990,708657003.2857143
600369,707721999.1428572
300498,706924025.5714285
002493,699948539.7142857
601066,698007038.4285715
601881,697278776.8571428
600025,677888624.5714285
000938,674180231.4285715
002050,674020164.5714285
000671,655915922.4285715
600015,655757411.1428572
601800,649891136.8571428
